qmof_id,name,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins
qmof-4aba306,core_OGOWAJ_freeONLY,Zn8C176H128N8O32,ZnC22H16NO4,[O-]C(=O)c1ccc2-c3c(C(c2c1)(C)C)cc(cc3)C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccncc1 MOFid-v1.pcu.cat1,Zn.MEXVHYTXKJZDCA.MWVTWFVJZLCBMC.MOFkey-v1.pcu,['[Zn][Zn]'],"['[O-]C(=O)c1ccc2-c3c(C(c2c1)(C)C)cc(cc3)C(=O)[O-]', 'n1ccc(cc1)c1ccncc1']",[O-]C(=O)c1ccc2-c3c(C(c2c1)(C)C)cc(cc3)C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccncc1,pcu,352,6.20711,7.36448,0.8995096646722778,6258.486812400886,C2/c,15,monoclinic,2/m,True,CoRE,,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-2389.6432746,-21.55951,-2368.0837646,0.0,2.925116,-0.11266999999999999,-3.0377859999999997,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-0918da7,boydwoo_str_m3_o13_o18_pcu_sym_221,Zn2C40Cl4F10H8N2O8,ZnC20Cl2F5H4NO4,Fc1cncc2c1cncc2F.[O-]C(=O)c1c(Cl)c(F)c2c(c1F)c(F)c(c(c2F)C(=O)[O-])Cl.[O-]C(=O)c1c(Cl)cc2c(c1F)c1cc(F)c3c(c1cc2F)c(F)c(c(c3)Cl)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0,Zn.GIXMYJJINBELSL.HSZGTONFHLUCJY.NNKNFFJQNCRNFO.MOFkey-v1.pcu,['[Zn][Zn]'],"['Fc1cncc2c1cncc2F', '[O-]C(=O)c1c(Cl)c(F)c2c(c1F)c(F)c(c(c2F)C(=O)[O-])Cl', '[O-]C(=O)c1c(Cl)cc2c(c1F)c1cc(F)c3c(c1cc2F)c(F)c(c(c3)Cl)C(=O)[O-]']",Fc1cncc2c1cncc2F.[O-]C(=O)c1c(Cl)c(F)c2c(c1F)c(F)c(c(c2F)C(=O)[O-])Cl.[O-]C(=O)c1c(Cl)cc2c(c1F)c1cc(F)c3c(c1cc2F)c(F)c(c(c3)Cl)C(=O)[O-].[Zn][Zn],pcu,74,5.54273,6.42752,1.1874522996727968,1548.1938104699484,P-1,2,triclinic,-1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002', 'F 08Apr2002']",520,"[2, 2, 2]",False,False,-517.51964481,-5.24006,-512.2795848100001,0.0,2.3458769999999998,-0.12679199999999996,-2.472669,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a7d6d40,boydwoo_str_m4_Al_o23_o25_acs_sym_234,Al6C84H68O34,Al3C42H34O17,O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(C(C1)O)(C(C2)O)C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(CC1)(C(C2)O)C#CC(=O)[O-] MOFid-v1.acs.cat0,Al.MKOUJDGUFLDICZ.QDDXVAJXYFNGKZ.VPNHZAKITSXAFU.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-]', '[O-]C(=O)C#CC12CCC(C(C1)O)(C(C2)O)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CCC(CC1)(C(C2)O)C#CC(=O)[O-]']",O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(C(C1)O)(C(C2)O)C#CC(=O)[O-].[O-]C(=O)C#CC12CCC(CC1)(C(C2)O)C#CC(=O)[O-],acs,192,4.96545,7.3379,0.7548771779294601,3922.826048757975,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1272.02897306,-10.33748,-1261.69149306,0.0,2.579451,-0.070768,-2.650219,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7dfff4f,boydwoo_str_m4_Al_o2_o25_acs_sym_123,Al6C89Cl3H56N5O28,Al6C89Cl3H56N5O28,CNC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])NC.CNc1cc(cc(c1c1ccc(cc1)C(=O)[O-])Cl)C(=O)[O-].CNc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-].CNc1cc(ccc1c1ccc(cc1Cl)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])Cl.[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-] MOFid-v1.acs.cat0,Al.AKXMDFICCDZLDP.GWBIOKPBBMIGRC.PAKPSYDWGBXHGQ.QQXWCUUUYCHBTR.SQPHFWANALQRDI.VPNHZAKITSXAFU.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['CNC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])NC', 'CNc1cc(cc(c1c1ccc(cc1)C(=O)[O-])Cl)C(=O)[O-]', 'CNc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-]', 'CNc1cc(ccc1c1ccc(cc1Cl)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])Cl', '[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-]']",CNC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])NC.CNc1cc(cc(c1c1ccc(cc1)C(=O)[O-])Cl)C(=O)[O-].CNc1cc(ccc1C(=O)[O-])c1ccc(cc1)C(=O)[O-].CNc1cc(ccc1c1ccc(cc1Cl)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])Cl.[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-],acs,187,5.37936,8.00222,0.7823184058501849,4057.6690976249033,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1280.85461161,-10.64003,-1270.21458161,0.0,2.554716,-0.14031200000000005,-2.6950279999999998,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-53dfad5,boydwoo_str_m7_o4_o13_bcu_sym_92,Zn4C64H48N16,ZnC16H12N4,CC1=C(C=N[N]1)c1ccc2c(c1)ccc(c2)[C]1C=NN=C1.CC1=N[N]C=C1[C]1C(C=[C][C]2[C]1CC2)C1=CN=N[CH]1.Cc1cc(C2=C[N]N=C2)c2c(c1C1=C[N]N=C1)CC2.Cc1cc(cc2c1cc(cc2)[C]1C=NN=C1)C1=C[N]N=C1.[Zn] MOFid-v1.bcu.cat0,Zn.NYCUSYBXDHWRIK.PPPLTTRAUOKNMI.SUHGESULGKNNCO.VYBJVNCWBSLRKS.MOFkey-v1.bcu,['[Zn]'],"['CC1=C(C=N[N]1)c1ccc2c(c1)ccc(c2)[C]1C=NN=C1', 'CC1=N[N]C=C1[C]1C(C=[C][C]2[C]1CC2)C1=CN=N[CH]1', 'Cc1cc(C2=C[N]N=C2)c2c(c1C1=C[N]N=C1)CC2', 'Cc1cc(cc2c1cc(cc2)[C]1C=NN=C1)C1=C[N]N=C1']",CC1=C(C=N[N]1)c1ccc2c(c1)ccc(c2)[C]1C=NN=C1.CC1=N[N]C=C1[C]1C(C=[C][C]2[C]1CC2)C1=CN=N[CH]1.Cc1cc(C2=C[N]N=C2)c2c(c1C1=C[N]N=C1)CC2.Cc1cc(cc2c1cc(cc2)[C]1C=NN=C1)C1=C[N]N=C1.[Zn],bcu,132,6.20009,8.64612,0.7185521269759865,3010.728601120772,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[2, 2, 1]",True,False,-889.39413883,-7.72078,-881.67335883,0.0,2.322998,-0.04734100000000002,-2.370339,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-150e43b,gmof_Al2O6-AZO_B-irmof7_B_No569,Al2C26F2H16N4O10,AlC13FH8N2O5,[Al].[O-]C(=O)c1c(F)c(F)c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(cc1N)[N][N]c1ccc(c(c1)N)C(=O)[O-].[OH] MOFid-v1.rna.cat0,Al.ZICKEWBIWMUTLW.ZUEAPRHMKWZIKN.MOFkey-v1.rna,"['[Al]', '[OH]']","['[O-]C(=O)c1c(F)c(F)c(c2c1cccc2)C(=O)[O-]', '[O-]C(=O)c1ccc(cc1N)[N][N]c1ccc(c(c1)N)C(=O)[O-]']",[Al].[O-]C(=O)c1c(F)c(F)c(c2c1cccc2)C(=O)[O-].[O-]C(=O)c1ccc(cc1N)[N][N]c1ccc(c(c1)N)C(=O)[O-].[OH],rna,60,7.66058,8.04643,0.8936762894053287,1182.4680816756395,P1,1,triclinic,1,False,GMOF,https://figshare.com/s/ec378d7315581e48f1e4,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002', 'F 08Apr2002']",520,"[4, 2, 1]",True,False,-423.89798222,-3.70997,-420.18801222,0.0,2.446213,-0.16165599999999997,-2.607869,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-3e2b99e,boydwoo_str_m4_Al_o2_o25_acs_sym_217,Al6C84F12H41N9O28,Al6C84F12H41N9O28,Nc1cc(ccc1c1c(F)c(N)c(c(c1F)F)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3(N)C4C1(N)C1(C2(C3C41C#CC(=O)[O-])F)F.[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])N)F)N.[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)c1ccc(c(c1F)N)C(=O)[O-].[O-]C(=O)c1cc(N)c(cc1F)c1c(N)cc(c(c1F)F)C(=O)[O-] MOFid-v1.acs.cat0,Al.BJVPIGJKLMYZMX.CYIJVHMINUBIFR.IMVSFJPKHWOVJZ.QBWFWHATEWGMLS.VPNHZAKITSXAFU.XHQDRLPFEYIOKC.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['Nc1cc(ccc1c1c(F)c(N)c(c(c1F)F)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC12C3(N)C4C1(N)C1(C2(C3C41C#CC(=O)[O-])F)F', '[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])N)F)N', '[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-]', '[O-]C(=O)c1cc(F)c(cc1F)c1ccc(c(c1F)N)C(=O)[O-]', '[O-]C(=O)c1cc(N)c(cc1F)c1c(N)cc(c(c1F)F)C(=O)[O-]']",Nc1cc(ccc1c1c(F)c(N)c(c(c1F)F)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3(N)C4C1(N)C1(C2(C3C41C#CC(=O)[O-])F)F.[O-]C(=O)C#CC12C3C4C2(C2(C1C3(C42C#CC(=O)[O-])N)F)N.[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)c1ccc(c(c1F)N)C(=O)[O-].[O-]C(=O)c1cc(N)c(cc1F)c1c(N)cc(c(c1F)F)C(=O)[O-],acs,180,5.13813,7.41627,0.8512138743242104,3929.159035066668,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002', 'F 08Apr2002']",520,"[2, 2, 1]",True,False,-1254.83273925,-10.2593,-1244.57343925,0.0,2.618427,-0.04719000000000001,-2.6656169999999997,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c906a20,boydwoo_str_m4_Al_o25_o25_acs_sym_108,Al6C84H38O64S12,Al3C42H19O32S6,O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C1C1(C2(C3C41C#CC(=O)[O-])S(O)([O])[O])S([O])([O])O MOFid-v1.acs.cat0,Al.PFIUHOXHCJMLIW.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],['[O-]C(=O)C#CC12C3C4C1C1(C2(C3C41C#CC(=O)[O-])S(O)([O])[O])S([O])([O])O'],O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C1C1(C2(C3C41C#CC(=O)[O-])S(O)([O])[O])S([O])([O])O,acs,204,5.93667,8.32547,0.9100015780834628,4776.927132650955,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1383.47661783,-12.77838,-1370.69823783,0.0,2.526618,-0.02226900000000004,-2.5488869999999997,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-1ed0c50,tobacco_SR_ttv_v1-3c_pyrrole_Ch_v2-12c_Hf_1_Ch_1B_2F_Ch_2x2x2,Hf6C126F30H46N6O32,Hf3C63F15H23N3O16,"[O-]C(=O)c1cc(F)c(cc1F)[C]1C=C[C](N1c1cc(F)c(cc1F)N1[C](C=C[C]1c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)c1ccc(n1c1cc(F)c(cc1F)n1c(ccc1c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-].[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43 MOFid-v1.ftw,ttv.cat0",Hf.SFZKXZBFGPQTFQ.MOFkey-v1.ftw,['[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43'],"['[O-]C(=O)c1cc(F)c(cc1F)[C]1C=C[C](N1c1cc(F)c(cc1F)N1[C](C=C[C]1c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-]', '[O-]C(=O)c1cc(F)c(cc1F)c1ccc(n1c1cc(F)c(cc1F)n1c(ccc1c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-]']",[O-]C(=O)c1cc(F)c(cc1F)[C]1C=C[C](N1c1cc(F)c(cc1F)N1[C](C=C[C]1c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-].[O-]C(=O)c1cc(F)c(cc1F)c1ccc(n1c1cc(F)c(cc1F)n1c(ccc1c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-])c1cc(F)c(cc1F)C(=O)[O-].[O]12[Hf]34[OH]5[Hf]62[OH]2[Hf]71[OH]4[Hf]14[O]3[Hf]35[O]6[Hf]2([O]71)[OH]43,ftw,246,4.93401,7.68891,1.1706678112764366,5385.342130013964,P1,1,triclinic,1,False,Anderson,https://doi.org/10.17605/OSF.IO/7DGVY,PBE-D3BJ,"['Hf_pv 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002', 'F 08Apr2002']",520,"[1, 1, 1]",True,False,-1793.82987614,-15.60903,-1778.2208461399998,0.0,2.705634,-0.056844000000000006,-2.7624779999999998,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-25d399e,gmof_AlO6-DPAC_A_No9,Al2C60H48O12,AlC30H24O6,[Al].[O-]C(=O)c1c(C)cc(cc1C)C#Cc1cc(C)c(c(c1)C)C(=O)[O-] MOFid-v1.ttp.cat0,Al.FVZSDZHLZJLEKC.MOFkey-v1.ttp,['[Al]'],['[O-]C(=O)c1c(C)cc(cc1C)C#Cc1cc(C)c(c(c1)C)C(=O)[O-]'],[Al].[O-]C(=O)c1c(C)cc(cc1C)C#Cc1cc(C)c(c(c1)C)C(=O)[O-],ttp,122,21.78156,21.92383,0.5840974368775654,2885.4984977144777,P622,177,hexagonal,622,False,GMOF,https://figshare.com/s/ec378d7315581e48f1e4,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[7, 1, 1]",True,False,-820.54094046,-8.04852,-812.49242046,0.0,2.9169050000000003,-0.10708900000000005,-3.0239939999999996,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
