qmof_id,name,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins
qmof-d55908c,ADULIX_FSR,Cu20Pr8C168H128I16N28O64,Cu5Pr2C42H32I4N7O16,,,"['[Cu][Cu]1(I)(I)[Cu][Cu]1([Cu])(I)I', '[OH2][Pr]']",['[O-]C(=O)c1ccncc1'],[Cu][Cu]1(I)(I)[Cu][Cu]1([Cu])(I)I.[O-]C(=O)c1ccncc1.[OH2][Pr],,432,4.83498,5.56453,2.2497469714116494,5898.614589200934,P2_12_12_1,19,orthorhombic,222,True,CSD,https://doi.org/10.1039/C7CE01580A,PBE-D3BJ,"['Pr_3 07Sep2000', 'Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-2894.39010481,-40.64904,-2853.7410648100004,0.0,1.24542,2.50458,0.40916,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-961be1d,AFITIT_FSR,Zn6C138H96N6O24,ZnC23H16NO4,Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccncc1 MOFid-v1.pcu.cat2,Zn.MWVTWFVJZLCBMC.VLWQGEBWTFWSHY.MOFkey-v1.pcu,['[Zn][Zn]'],"['Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-]', 'n1ccc(cc1)c1ccncc1']",Cc1cc(ccc1C#Cc1ccc(cc1C)C(=O)[O-])C(=O)[O-].[Zn][Zn].n1ccc(cc1)c1ccncc1,pcu,270,5.32657,7.33844,1.010779184856586,4295.54002984664,C2,5,monoclinic,2,True,CSD,https://doi.org/10.1039/b714160b,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1837.14553754,-17.68872,-1819.45681754,0.0,1.933385,0.318884,-2.464501,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f5afc17,AFUKAP_FSR,Mn6C128H100N8O38,Mn3C64H50N4O19,,Mn.JWPDUQLIPMJLOF.WGELLMPRCOEWEP.MOFkey-v1.sql,['[Mn]'],"['[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-]', 'c1ncn(c1)c1ccc(cc1)n1cncc1']",[Mn].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].c1ncn(c1)c1ccc(cc1)n1cncc1,sql,280,4.72285,7.29323,0.9688429620813988,4606.767786225746,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1039/C3CE41406J,PBE-D3BJ,"['Mn_pv 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,True,-1920.56275506,-17.14789,-1903.41486506,30.0,1.36554,1.299689,-0.915851,True,"[1.42626, 3.18976]","[0.935409, 0.874689]","[-0.490851, -2.315071]","[True, True]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6585ef5,AKAYIV_FSR,Cu8Br8C192H120N24O48,CuBrC24H15N3O6,O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu]Br MOFid-v1.ths.cat1,Cu.DGRPQJPARZFUQW.MOFkey-v1.ths,['[Cu]Br'],['O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1'],O=C(c1ccncc1)Oc1cc(OC(=O)c2ccncc2)cc(c1)OC(=O)c1ccncc1.[Cu]Br,ths,400,9.06317,9.3347,1.1426565808987172,6799.268786359423,P2/c,13,monoclinic,2/m,True,CSD,https://doi.org/10.1002/asia.201000218,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'Br 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-2760.39044621,-29.77405,-2730.61639621,0.0,0.943654,0.48808999999999997,-1.305564,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-beb7ad4,ASAFEF_FSR,Zn2C24H24N12O18,ZnC12H12N6O9,,,['[OH2][Zn][OH2]'],['n1ccc(cc1)c1nnc(o1)c1ccncc1'],[OH2][Zn][OH2].n1ccc(cc1)c1nnc(o1)c1ccncc1,,80,5.54492,5.77855,1.2925953256311915,1155.3351659460088,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1021/cm030037t,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 2, 1]",True,False,-522.09144361,-5.26074,-516.83070361,0.0,2.076549,0.424248,-2.5023009999999997,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[2, 1, 1]",True,False,-3856.60809381,0.0,-3856.60809381,0.0,2.937984,-1.62818,-4.566164,True,"[None, None]","[None, None]","[None, None]","[None, None]",-563.61841701,-4.49794,-559.1204770100001,0.0,2.793319,0.145501,-2.647818,True,"[None, None]","[None, None]","[None, None]","[None, None]",-627.80279785,-4.49794,-623.3048578500001,0.0,3.686934,0.359466,-3.327468,True,"[None, None]","[None, None]","[None, None]","[None, None]"
qmof-4b1ef88,BUSMUY_FSR,Co3C72H48N30,CoC24H16N10,[Co].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1 MOFid-v1.nbo.cat0,Co.VLVNGJLBYJZXAI.MOFkey-v1.nbo,['[Co]'],['n1ccc(cc1)C1=NN=C([N]1)c1ccccn1'],[Co].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,nbo,153,5.88322,7.39171,1.1810246022110238,2123.297484375909,R-3,148,trigonal,-3,True,CSD,https://doi.org/10.1021/ja1009635,PBE-D3BJ,"['Co 02Aug2007', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[2, 1, 1]",True,True,-1103.12268082,-11.38984,-1091.73284082,3.0,0.907393,1.911065,0.15367199999999998,True,"[0.9139180000000001, 1.36742]","[1.49259, 1.486065]","[0.578672, 0.118645]","[True, False]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c861c48,BUVWOF03_FSR,Fe6C144H96N60,FeC24H16N10,[Fe].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1 MOFid-v1.nbo.cat1,Fe.VLVNGJLBYJZXAI.MOFkey-v1.nbo,['[Fe]'],['n1ccc(cc1)C1=NN=C([N]1)c1ccccn1'],[Fe].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,nbo,306,5.39545,6.64347,1.2203914194202454,4084.3983690353434,R-3c,167,trigonal,-3m,True,CSD,https://doi.org/10.1002/chem.201001179,PBE-D3BJ,"['Fe 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[1, 1, 1]",True,False,-2217.9963072,-22.80305,-2195.1932572,0.0,1.152852,1.914463,-0.088389,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b0402ac,BUVXOG01_FSR,Fe3C72H48N30,FeC24H16N10,[Fe].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1 MOFid-v1.nbo.cat0,Fe.VLVNGJLBYJZXAI.MOFkey-v1.nbo,['[Fe]'],['n1ccc(cc1)C1=NN=C([N]1)c1ccccn1'],[Fe].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,nbo,153,5.03489,6.58674,1.2683252492031607,1965.0183287750456,R-3,148,trigonal,-3,True,CSD,https://doi.org/10.1002/chem.201001179,PBE-D3BJ,"['Fe 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[2, 1, 1]",True,False,-1109.2310827,-11.80068,-1097.4304026999998,0.0,1.1915490000000002,2.193542,0.151993,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a8ea913,BUVYIB_FSR,Fe3C72H48N30,FeC24H16N10,[Fe].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1 MOFid-v1.nbo.cat0,Fe.VLVNGJLBYJZXAI.MOFkey-v1.nbo,['[Fe]'],['n1ccc(cc1)C1=NN=C([N]1)c1ccccn1'],[Fe].n1ccc(cc1)C1=NN=C([N]1)c1ccccn1,nbo,153,8.47334,10.88281,0.7088618782160456,3515.8927826737995,R-3,148,trigonal,-3,True,CSD,https://doi.org/10.1002/chem.201001179,PBE-D3BJ,"['Fe 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002']",520,"[2, 1, 1]",True,False,-1107.12856431,-8.87236,-1098.25620431,0.0,1.2704350000000002,0.206481,-1.9139540000000002,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a075109,CABNUS_FSR,Zn8C160H160N16O32,ZnC20H20N2O4,[O-]C(=O)C1CCCCC1C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1 MOFid-v1.dmp.cat1,Zn.MGFJDEHFNMWYBD.QSAWQNUELGIYBC.MOFkey-v1.dmp,['[Zn]'],"['[O-]C(=O)C1CCCCC1C(=O)[O-]', 'n1ccc(cc1)C=Cc1ccncc1']",[O-]C(=O)C1CCCCC1C(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1,dmp,376,5.74922,6.42143,1.1885603441219834,4669.590531605344,Pnna,52,orthorhombic,mmm,True,CSD,,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-2426.31405995,-25.62197,-2400.69208995,0.0,1.849793,0.878978,-1.820815,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
