name,cif_file,Di,Df,Dif,cell_v,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
qmof-6ebfed4_primitive,qmof-6ebfed4_primitive.cif,11.10899,10.70991,11.10899,1109.06,1165.98,1202.69,0.4422,0.4561217479922185,0.4422,0.0,0.456122,0.0,490.428,0.0,0.0,0.0,0.0,0.0,0.0,0.3184615384615385,-0.0276923076923077,0.0969230769230768,0.0,0.9230769230769232,-0.4615384615384616,-1.3846153846153846,0.0,7.153846153846153,1.3846153846153846,6.6923076923076925,0.0,-3.6296400000000015,-5.4,-13.964819999999996,0.0,1.5669230769230773,0.6784615384615388,2.3100000000000023,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.7800000000000005,1.0,2.5384615384615383,3.2307692307692317,4.384615384615385,0.5625,1.1890384615384617,1.838076923076924,2.3936538461538466,6.6923076923076925,14.538461538461537,20.30769230769231,29.76923076923077,49.0,74.30769230769229,148.61538461538458,168.0,54.76,165.86548984615382,216.87692307692305,343.4412064615384,9.241600000000002,18.695999999999994,27.79495384615385,33.498461538461534,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.88999999999999,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,1.47,1.47,0.0,24.0,9.0,9.0,0.0,30.0,21.0,21.0,0.0,-10.98,-2.8199999999999994,-2.8199999999999994,10.0,24.0,36.0,24.0,6.563699999999999,17.782799999999995,21.8082,13.4904,72.0,192.0,192.0,96.0,661.0,1824.0,2388.0,1152.0,93.1012,171.72479999999996,379.641,210.52799999999996,1.0,6.0,3.0,3.0,1.5876,5.5188000000000015,2.9106,2.9106,36.0,72.0,54.0,54.0,169.0,624.0,234.0,234.0,2.5921000000000003,33.2304,12.3165,12.3165,64.0,138.0,216.0,276.0,28.98240000000001,69.53820000000003,105.79680000000002,131.6736000000001,354.0,882.0,1308.0,1584.0,2011.0,4308.0,6756.0,7968.0,453.8299,970.8000000000004,1511.6909999999991,1903.8630000000005
qmof-eb442dd_primitive,qmof-eb442dd_primitive.cif,7.44411,5.64041,7.41069,4533.84,1667.97,1891.78,0.4705,0.5336306391318549,0.4705,0.0,0.533631,0.0,2133.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0399999999999999,0.4499999999999999,0.1599999999999997,0.0,-2.25,-3.0,-7.0,0.0,4.25,15.0,17.0,0.0,-6.896777500000002,-10.780665000000004,-25.51711,0.0,1.5275,4.12,6.09,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.04,0.0,-2.0,-1.0,-1.0,0.0,2.0,2.0,2.0,0.0,-6.000000000000001,-6.000000000000001,-6.000000000000001,0.0,0.8900000000000002,0.8900000000000002,0.8900000000000002,1.0,1.5,3.75,6.0,0.5187,0.7681499999999999,1.643675,2.9918,3.0,9.75,15.75,24.0,73.0,63.25,133.75,293.0,24.1807,81.84465350000002,150.4808097,249.4982027,14.190699999999998,13.15975,34.1256,61.76139999999999,1.0,1.0,2.0,1.0,0.5328999999999998,0.5621,1.0950000000000002,0.5621,1.0,3.0,3.0,2.0,64.0,48.0,112.0,48.0,28.089999999999996,59.88999999999999,87.98,59.88999999999999,11.8336,8.771999999999997,20.605599999999992,8.771999999999997,0.0,0.0,0.0,0.0,0.0,2.8266666666666667,2.2566666666666664,6.553333333333336,0.0,17.0,11.0,42.0,0.0,26.66666666666667,32.0,71.33333333333333,0.0,-9.759999999999998,-3.956666666666665,-19.619999999999997,24.0,58.0,114.0,154.0,15.917699999999998,43.46420000000002,77.44059999999995,102.2438,172.0,476.0,818.0,966.0,1620.0,4496.0,8160.0,9904.0,217.3017,402.8927999999999,1091.5238,1170.7007999999996,1.0,5.333333333333333,6.333333333333332,12.666666666666664,1.5876,4.9056000000000015,7.2114,11.852400000000005,28.66666666666667,62.66666666666666,122.66666666666669,134.66666666666666,169.0,554.6666666666666,654.3333333333334,1213.3333333333333,2.5921000000000003,29.53813333333333,22.786866666666665,64.42146666666667,35.0,72.0,134.0,194.0,15.4771,35.74400000000001,61.0226,83.6206,206.0,550.0,868.0,1024.0,1260.0,2294.0,3992.0,5560.0,281.7155,512.105,984.1342000000004,1436.6378000000002
qmof-4aba306_primitive,qmof-4aba306_primitive.cif,7.36457,6.20708,7.36457,6258.49,1354.61,1505.99,0.3909,0.4345829771101844,0.3909,0.0,0.434583,0.0,2446.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.2133333333333333,0.1933333333333332,0.0,-2.0,-1.3333333333333333,-2.333333333333333,0.0,2.0,6.0,7.0,0.0,-6.600000000000001,-4.671406666666667,-7.371406666666668,0.0,0.9200000000000004,1.4800000000000002,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,2.6666666666666665,2.333333333333333,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.126966666666667,2.0,6.0,8.0,7.333333333333333,59.0,60.0,107.33333333333331,82.66666666666667,36.98,95.67333333333332,136.63507600000003,129.96174266666665,10.9696,11.016,23.36373333333333,18.738666666666663,0.0,0.0,0.0,0.0,0.0,2.88,3.240000000000001,7.439999999999999,0.0,14.0,12.0,32.0,0.0,111.0,144.0,290.0,0.0,-8.549999999999999,-5.4,-13.66,20.0,44.0,76.0,112.0,13.5636,32.84440000000001,52.39319999999999,69.50880000000002,120.0,308.0,428.0,512.0,2698.0,5784.0,7408.0,8352.0,170.61700000000002,313.24800000000005,672.9867999999999,916.6079999999996,1.0,5.0,6.0,12.0,1.7161000000000004,4.8077000000000005,6.0522,10.846800000000002,25.0,55.0,90.0,140.0,900.0,1170.0,1080.0,2100.0,2.7225,27.72,25.245,55.209,28.666666666666668,60.66666666666666,101.33333333333331,130.66666666666666,11.952200000000005,29.19326666666667,45.37013333333334,54.95946666666666,162.0,412.6666666666667,625.3333333333334,737.3333333333334,742.0,1624.0,2485.333333333333,2736.0,184.714,390.8809999999999,647.2069333333333,812.4220000000001
qmof-0918da7_primitive,qmof-0918da7_primitive.cif,6.42087,5.5671,6.42087,1548.19,1190.1,1002.26,0.3736,0.3146317225581513,0.3736,0.0,0.314632,0.0,578.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222221,0.0044444444444443,0.2199999999999997,0.0,-2.0,-4.0,-6.111111111111112,0.0,4.777777777777779,9.555555555555555,20.0,0.0,-5.146666666666667,-10.293333333333337,-15.03950555555556,0.0,1.247777777777778,2.495555555555556,4.7955555555555565,0.0,0.0,0.0,0.0,0.0,-0.04,0.2133333333333333,-0.0533333333333333,0.0,-2.0,-1.3333333333333333,-3.0,0.0,2.0,6.0,2.6666666666666665,0.0,-6.600000000000001,-4.671406666666667,-9.380000000000004,0.0,0.9200000000000004,1.4800000000000002,1.2000000000000004,1.0,1.0,2.0,4.0,0.6098777777777779,0.5946111111111111,1.1892222222222222,2.214244444444444,1.0,3.0,6.0,10.111111111111107,127.22222222222224,64.66666666666667,129.33333333333334,248.88888888888889,58.24813333333333,69.53266666666667,139.06533333333334,240.06513017777783,14.539333333333332,9.684333333333331,19.368666666666662,39.41724444444444,1.0,1.3333333333333333,2.6666666666666665,2.333333333333333,0.5427666666666666,0.7597333333333335,1.2999999999999998,1.3119666666666667,2.0,6.0,8.0,8.666666666666666,59.0,60.0,107.33333333333331,113.0,36.98,95.67333333333332,136.635076,144.82533333333333,10.9696,11.016,23.36373333333333,20.897066666666664,0.0,0.0,0.0,0.0,0.0,2.8800000000000003,3.24,7.44,0.0,14.0,12.0,32.0,0.0,111.0,144.0,290.0,0.0,-8.55,-5.4,-13.659999999999998,20.0,44.0,76.0,112.0,13.5636,32.8444,52.39319999999999,69.50880000000004,120.0,308.0,428.0,512.0,2698.0,5784.0,7408.0,8352.0,170.61700000000002,313.2480000000001,672.9868,916.6079999999996,1.0,5.0,6.0,12.0,1.7161000000000002,4.8077000000000005,6.052200000000001,10.846800000000002,25.0,55.0,90.0,140.0,900.0,1170.0,1080.0,2100.0,2.7225,27.719999999999995,25.245,55.209,24.0,51.333333333333336,81.33333333333333,104.0,13.053600000000005,28.73126666666668,44.83960000000001,56.02773333333334,132.66666666666666,334.0,492.0,548.0,1341.3333333333333,2064.0,3357.333333333333,4454.666666666667,203.43946666666665,372.9289999999999,608.7929333333332,803.1159999999999
qmof-a7d6d40_primitive,qmof-a7d6d40_primitive.cif,7.34174,4.97254,7.32988,3922.83,1994.81,2642.53,0.5112,0.6771892407452791,0.5112,0.0,0.677189,0.0,2005.35,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,0.2333333333333332,0.4666666666666665,0.0,-0.8333333333333334,-2.5,-3.333333333333333,0.0,7.5,9.166666666666666,18.33333333333333,0.0,-4.339258333333334,-9.339258333333335,-18.67851666666667,0.0,1.7749999999999997,2.5166666666666666,5.033333333333334,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.04,0.0,-2.0,-1.0,-1.0,0.0,2.0,2.0,2.0,0.0,-6.000000000000001,-6.000000000000001,-6.000000000000001,0.0,0.8900000000000002,0.8900000000000002,0.8900000000000002,0.8333333333333334,1.6666666666666667,2.5,5.0,0.4440833333333332,0.6935000000000001,1.1619166666666665,2.323833333333333,3.333333333333333,8.333333333333334,15.0,26.666666666666668,53.333333333333336,46.66666666666666,86.66666666666667,173.33333333333334,23.40833333333333,69.81473583333333,119.72306916666668,239.44613833333335,9.861333333333334,13.616666666666667,20.926666666666662,41.853333333333325,1.0,1.0,2.0,1.0,0.5328999999999998,0.5621,1.0950000000000002,0.5621,1.0,3.0,3.0,2.0,64.0,48.0,112.0,48.0,28.089999999999996,59.88999999999999,87.98,59.88999999999999,11.8336,8.771999999999997,20.605599999999992,8.771999999999997,0.0,0.0,0.0,0.0,0.0,2.8266666666666667,2.256666666666668,6.553333333333336,0.0,17.0,11.0,42.0,0.0,26.66666666666667,32.0,71.33333333333333,0.0,-9.759999999999998,-3.956666666666665,-19.62,24.0,58.0,114.0,154.0,15.917699999999998,43.46420000000002,77.44059999999999,102.24380000000002,172.0,476.0,818.0,966.0,1620.0,4496.0,8160.0,9904.0,217.30169999999995,402.8928,1091.5238000000002,1170.7007999999996,1.0,5.333333333333333,6.333333333333332,12.666666666666664,1.5876,4.9056000000000015,7.2114,11.852400000000005,28.66666666666667,62.66666666666666,122.66666666666669,134.66666666666666,169.0,554.6666666666666,654.3333333333334,1213.3333333333333,2.5921000000000003,29.53813333333333,22.786866666666665,64.42146666666669,30.0,63.0,114.0,165.0,12.471000000000004,30.239100000000004,49.1354,61.0525,181.0,500.0,776.0,844.0,835.0,1732.0,2704.0,2800.0,203.443,416.6335,739.4043999999999,1005.2664999999996
qmof-7dfff4f_primitive,qmof-7dfff4f_primitive.cif,8.00057,5.3787,7.19019,4057.67,1727.67,2208.37,0.4825,0.6167489850804266,0.4825,0.0,0.616749,0.0,1957.83,0.0,0.0,0.0,0.0,0.0,0.0,0.2433333333333333,0.73,0.7233333333333333,0.0,-0.5,0.3333333333333333,-2.0,0.0,7.666666666666667,19.33333333333333,25.5,0.0,-1.353555,2.539334999999999,3.842889999999997,0.0,1.1133333333333335,2.3400000000000003,2.428333333333334,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.06,0.0,-2.0,-1.5,-2.5,0.0,2.0,2.0,3.0,0.0,-6.000000000000001,-6.000000000000001,-9.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.3350000000000002,0.8333333333333334,1.8333333333333333,3.5,4.0,0.6079500000000001,0.9703500000000002,1.72525,2.2675000000000005,4.833333333333333,13.666666666666666,19.5,23.33333333333333,120.83333333333331,79.5,144.5,209.16666666666663,98.43333333333334,155.28964033333335,285.068921,390.5482100000001,7.949333333333335,13.781999999999998,25.791,30.681266666666676,1.0,1.0,2.0,1.5,0.5328999999999998,0.5621,1.0950000000000002,0.84315,1.0,3.0,3.5,4.0,64.0,48.0,112.0,72.0,28.089999999999996,59.88999999999999,87.98,89.835,11.8336,8.771999999999997,20.605599999999992,13.157999999999996,0.0,0.0,0.0,0.0,0.0,2.8266666666666667,2.2566666666666664,6.553333333333336,0.0,17.0,11.0,40.0,0.0,26.66666666666667,32.0,71.33333333333333,0.0,-9.759999999999998,-3.956666666666665,-19.619999999999997,24.0,58.0,114.0,154.0,15.917699999999998,43.46420000000002,77.44059999999996,102.24380000000002,172.0,476.0,818.0,966.0,1620.0,4496.0,8160.0,9904.0,217.3017,402.8928,1091.5238,1170.7007999999996,1.0,5.333333333333333,6.333333333333332,12.666666666666664,1.5876,4.9056000000000015,7.2114,11.852400000000005,28.66666666666667,62.66666666666666,122.66666666666669,145.33333333333334,169.0,554.6666666666666,654.3333333333334,1213.3333333333333,2.5921000000000003,29.53813333333333,22.786866666666665,64.42146666666667,29.166666666666668,63.333333333333336,103.0,124.0,13.117183333333337,31.86566666666668,47.51096666666667,52.68546666666668,178.33333333333334,491.3333333333333,675.0,678.6666666666666,984.3333333333334,1923.6666666666667,2844.0,2944.333333333333,200.0422833333333,421.4331666666667,682.8128999999999,785.3951999999999
qmof-53dfad5_primitive,qmof-53dfad5_primitive.cif,8.65227,6.16098,8.65227,3010.73,1930.81,2687.19,0.5762,0.8019206012316901,0.5762,0.0,0.801921,0.0,1734.78,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.17,-0.02,0.0,-0.5,-0.5,-1.5,0.0,0.5,4.0,1.0,0.0,-1.95,-2.453555,-3.900000000000001,0.0,0.2450000000000001,0.9100000000000004,0.4900000000000002,0.0,0.0,0.0,0.0,0.0,-0.02,0.2733333333333333,0.5499999999999999,0.0,-1.0,-1.5,0.3333333333333333,0.0,1.0,7.166666666666666,10.0,0.0,-3.9,-6.039258333333334,0.4393350000000002,0.0,0.4900000000000002,1.7616666666666672,1.75,0.5,1.0,1.5,1.0,0.28125,0.57,0.71625,0.5775,2.0,5.0,7.0,7.0,24.5,45.5,45.5,42.0,27.38000000000001,69.19,100.296307,83.62,4.6208,8.4968,11.095999999999998,7.752000000000001,1.0,2.0,3.0,2.5,0.5625,1.14,1.4825,0.99375,4.0,10.0,15.0,9.333333333333334,49.0,91.0,96.83333333333334,52.5,54.76000000000001,138.38,208.9705116666667,133.648921,9.2416,16.9936,22.369333333333334,17.784,0.0,0.0,0.0,0.0,0.0,1.96,3.850000000000001,6.870000000000001,0.0,2.0,4.5,11.5,0.0,80.5,164.5,267.0,0.0,-4.865,-8.015,-8.400000000000002,34.0,72.0,120.0,174.0,24.165000000000006,52.68000000000003,92.1736,116.95020000000004,192.0,504.0,776.0,888.0,4888.0,7840.0,13860.0,16116.0,249.79060000000004,505.36959999999993,808.0115999999998,1307.985,1.0,3.5,7.0,12.0,1.7161000000000002,3.43875,6.969200000000002,11.593500000000002,12.5,37.5,73.5,112.0,900.0,735.0,1365.0,2790.0,2.7225,17.555999999999997,32.28225,46.53,32.0,70.0,114.5,131.0,13.3792,33.866200000000006,50.83545,54.3933,186.5,473.0,682.5,735.5,784.0,1900.0,2676.0,2590.0,199.0864,454.7074000000001,722.0924999999997,804.9730000000003
qmof-150e43b_primitive,qmof-150e43b_primitive.cif,8.0464,7.66059,8.0464,1182.47,1331.44,1489.84,0.4552,0.5093517290768,0.4552,0.0,0.509352,0.0,538.259,0.0,0.0,0.0,0.0,0.0,0.0,0.1499999999999999,-0.085,0.1599999999999998,0.0,-0.25,-2.75,-3.0,0.0,5.0,4.25,10.75,0.0,-4.283555,-12.435,-15.9953325,0.0,1.38,2.0425000000000004,3.6325000000000007,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,1.0,1.75,2.25,4.5,0.5333,0.841475,1.268575,2.29085,3.75,7.75,12.0,19.5,65.0,63.75,106.5,200.25,34.37380000000001,93.30730700000002,146.787,241.73626050000007,12.541,14.6049,19.839,41.7257,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,3.74,4.080000000000001,0.0,22.0,22.0,28.0,0.0,30.0,52.0,48.0,0.0,-10.98,-4.939999999999999,-11.079999999999998,18.0,44.0,92.0,116.0,11.149599999999998,32.1492,57.59939999999999,60.41480000000002,140.0,412.0,650.0,556.0,1124.0,3296.0,5914.0,5024.0,159.2102,303.5456000000001,880.2258000000003,922.4704,1.0,6.0,7.0,8.0,1.5876,5.5188000000000015,6.400800000000001,7.56,36.0,84.0,120.0,120.0,169.0,624.0,507.0,728.0,2.5921000000000003,33.2304,26.0981,38.5756,27.0,56.0,86.0,109.0,12.4267,28.430000000000007,41.860200000000006,49.523300000000006,142.0,349.0,492.0,545.0,910.0,1769.0,2646.0,3044.0,200.0705,389.1431,601.0313999999998,758.0349000000001
qmof-3e2b99e_primitive,qmof-3e2b99e_primitive.cif,7.42059,5.13452,7.42059,3929.16,1832.46,2152.75,0.4783,0.5618987313517876,0.4783,0.0,0.561899,0.0,1879.32,0.0,0.0,0.0,0.0,0.0,0.0,0.2455555555555555,-0.0826666666666667,0.1036666666666665,0.0,0.2166666666666666,-3.133333333333333,-2.944444444444444,0.0,6.194444444444444,4.133333333333333,9.955555555555554,0.0,-2.8103090555555554,-11.704,-15.682861055555556,0.0,1.4650555555555556,1.9826666666666677,3.5367777777777785,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.06,0.0,-2.0,-1.5,-2.5,0.0,2.0,2.0,3.0,0.0,-6.000000000000001,-6.000000000000001,-9.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.3350000000000006,0.8333333333333334,1.5722222222222222,2.0,4.0,0.4416588888888888,0.6720038888888888,1.1221466666666668,2.0466233333333337,3.788888888888889,7.655555555555556,13.766666666666667,20.4,55.67777777777778,45.73888888888889,96.8,181.2833333333333,26.71947,75.14169256666666,123.1248,202.85465253277775,10.762443333333332,12.513630555555556,18.060800000000004,37.72460833333334,1.0,1.0,2.0,1.5,0.5328999999999998,0.5621,1.0950000000000002,0.8431500000000001,1.0,3.0,3.5,4.0,64.0,48.0,112.0,72.0,28.089999999999996,59.88999999999999,87.98,89.835,11.8336,8.771999999999997,20.605599999999992,13.157999999999996,0.0,0.0,0.0,0.0,0.0,2.8266666666666667,2.256666666666668,6.553333333333336,0.0,17.0,11.0,40.0,0.0,26.66666666666667,32.0,71.33333333333333,0.0,-9.759999999999998,-3.956666666666665,-19.619999999999997,24.0,58.0,114.0,154.0,15.917699999999998,43.46420000000002,77.44059999999996,102.2438,172.0,476.0,818.0,966.0,1620.0,4496.0,8160.0,9904.0,217.3017,402.8927999999999,1091.5238000000002,1170.7007999999996,1.0,5.333333333333333,6.333333333333332,12.666666666666664,1.5876,4.9056000000000015,7.2114,11.852400000000005,28.66666666666667,62.66666666666666,122.66666666666669,145.33333333333334,169.0,554.6666666666666,654.3333333333334,1213.3333333333333,2.5921000000000003,29.53813333333333,22.78686666666667,64.42146666666667,28.0,61.0,97.0,120.66666666666669,13.174,31.641100000000005,47.83883333333333,55.26540000000002,170.0,473.6666666666667,667.6666666666666,672.0,1002.0,1998.0,3091.0,3448.0,215.37259999999995,428.0085,686.0943999999998,853.2049999999999
qmof-c906a20_primitive,qmof-c906a20_primitive.cif,8.33458,5.9543,8.26058,4776.93,1490.5,1637.9,0.4097,0.4502163170173416,0.4097,0.0,0.450216,0.0,1957.11,0.0,0.0,0.0,0.0,0.0,0.0,0.1524999999999999,0.3199999999999999,0.5024999999999997,0.0,0.25,-1.25,-4.75,0.0,4.25,12.75,21.75,0.0,2.223222500000001,5.298222499999997,-1.2803325000000052,0.0,0.3175,0.7850000000000003,2.747500000000001,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.04,0.0,-2.0,-1.0,-1.0,0.0,2.0,2.0,2.0,0.0,-6.000000000000001,-6.000000000000001,-6.000000000000001,0.0,0.8900000000000002,0.8900000000000002,0.8900000000000002,1.0,2.0,3.25,4.25,0.6597749999999998,1.380775,1.9043250000000005,2.5396250000000005,5.5,12.5,19.5,31.5,112.0,218.0,208.0,276.0,115.1575,215.00692075000003,273.32698350000004,481.8658249999999,10.5393,16.849549999999997,30.68265000000001,33.18310000000001,1.0,1.0,2.0,1.0,0.5328999999999998,0.5621,1.0950000000000002,0.5621,1.0,3.0,3.0,2.0,64.0,48.0,112.0,48.0,28.089999999999996,59.88999999999999,87.98,59.88999999999999,11.8336,8.771999999999997,20.605599999999992,8.771999999999997,0.0,0.0,0.0,0.0,0.0,2.8266666666666667,2.2566666666666664,6.553333333333336,0.0,17.0,11.0,42.0,0.0,26.66666666666667,32.0,71.33333333333333,0.0,-9.759999999999998,-3.956666666666665,-19.619999999999997,24.0,58.0,114.0,154.0,15.917699999999998,43.46420000000002,77.44059999999996,102.24380000000004,172.0,476.0,818.0,966.0,1620.0,4496.0,8160.0,9904.0,217.30169999999995,402.8927999999999,1091.5238,1170.7007999999996,1.0,5.333333333333333,6.333333333333332,12.666666666666664,1.5876,4.9056000000000015,7.2114,11.852400000000005,28.66666666666667,62.66666666666666,122.66666666666669,134.66666666666666,169.0,554.6666666666666,654.3333333333334,1213.3333333333333,2.5921000000000003,29.53813333333333,22.786866666666665,64.42146666666669,32.0,72.0,120.0,152.0,16.5318,41.2776,63.62799999999999,75.4722,216.0,648.0,944.0,990.0,1662.0,3680.0,4928.0,5806.0,251.72379999999995,512.2363999999999,887.1795999999999,1052.8828000000003
