name,cif_file,Di,Df,Dif,cell_v,VSA,GSA,VPOV,GPOV,POAV_vol_frac,PONAV_vol_frac,GPOAV,GPONAV,POAV,PONAV,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,D_mc-I-0-all,D_mc-I-1-all,D_mc-I-2-all,D_mc-I-3-all,D_mc-S-0-all,D_mc-S-1-all,D_mc-S-2-all,D_mc-S-3-all,D_mc-T-0-all,D_mc-T-1-all,D_mc-T-2-all,D_mc-T-3-all,D_mc-Z-0-all,D_mc-Z-1-all,D_mc-Z-2-all,D_mc-Z-3-all,D_mc-chi-0-all,D_mc-chi-1-all,D_mc-chi-2-all,D_mc-chi-3-all,f-I-0-all,f-I-1-all,f-I-2-all,f-I-3-all,f-S-0-all,f-S-1-all,f-S-2-all,f-S-3-all,f-T-0-all,f-T-1-all,f-T-2-all,f-T-3-all,f-Z-0-all,f-Z-1-all,f-Z-2-all,f-Z-3-all,f-chi-0-all,f-chi-1-all,f-chi-2-all,f-chi-3-all,mc-I-0-all,mc-I-1-all,mc-I-2-all,mc-I-3-all,mc-S-0-all,mc-S-1-all,mc-S-2-all,mc-S-3-all,mc-T-0-all,mc-T-1-all,mc-T-2-all,mc-T-3-all,mc-Z-0-all,mc-Z-1-all,mc-Z-2-all,mc-Z-3-all,mc-chi-0-all,mc-chi-1-all,mc-chi-2-all,mc-chi-3-all,f-lig-I-0,f-lig-I-1,f-lig-I-2,f-lig-I-3,f-lig-S-0,f-lig-S-1,f-lig-S-2,f-lig-S-3,f-lig-T-0,f-lig-T-1,f-lig-T-2,f-lig-T-3,f-lig-Z-0,f-lig-Z-1,f-lig-Z-2,f-lig-Z-3,f-lig-chi-0,f-lig-chi-1,f-lig-chi-2,f-lig-chi-3
qmof-2c52fd4_primitive,qmof-2c52fd4_primitive.cif,6.6205,4.71713,6.30015,771.009,1036.25,846.752,0.3444,0.2814208320054911,0.3444,0.0,0.28142,0.0,265.535,0.0,0.0,0.0,0.0,0.0,0.0,-0.0333333333333333,-0.08,-0.0633333333333334,0.0,-1.0,-2.6666666666666665,-4.0,0.0,1.6666666666666667,4.0,7.333333333333334,0.0,-4.43,-10.86,-16.807851666666668,0.0,0.7966666666666667,1.8900000000000003,3.123333333333334,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,1.0,1.3333333333333337,2.0,3.333333333333333,0.5234333333333333,0.7345999999999999,1.1042,1.7818333333333336,2.333333333333333,5.0,7.333333333333333,12.0,70.0,71.33333333333334,105.33333333333334,175.66666666666666,25.4838,61.21433333333334,99.46200000000002,157.68223566666668,13.405,13.338233333333331,19.60153333333333,33.982366666666664,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,3.74,4.080000000000001,0.0,22.0,22.0,28.0,0.0,30.0,52.0,48.0,0.0,-10.98,-4.939999999999999,-11.079999999999998,18.0,44.0,92.0,116.0,11.149599999999998,32.1492,57.5994,60.41479999999999,140.0,412.0,650.0,556.0,1124.0,3296.0,5914.0,5024.0,159.21019999999996,303.5456000000001,880.2258000000003,922.4704,1.0,6.0,7.0,8.0,1.5876,5.5188000000000015,6.400800000000001,7.56,36.0,84.0,120.0,120.0,169.0,624.0,507.0,728.0,2.5921000000000003,33.2304,26.0981,38.5756,20.0,41.0,64.0,77.0,10.0108,21.909700000000004,32.3616,37.6889,107.0,266.0,360.0,395.0,841.0,1520.0,2282.0,2631.0,169.12609999999998,305.0159,480.9296,575.1003999999999
qmof-8f8e33d_primitive,qmof-8f8e33d_primitive.cif,6.35009,4.54879,6.33916,1978.72,1260.4,1178.37,0.3609,0.3374127018258991,0.3609,0.0,0.337412,0.0,714.12,0.0,0.0,0.0,0.0,0.0,0.0,0.2519999999999999,0.22,0.3919999999999999,0.0,2.0,0.4,0.4,0.0,6.4,8.0,13.4,0.0,4.037156000000001,-1.122844000000001,2.635733999999999,0.0,0.3660000000000001,1.0960000000000003,1.3380000000000003,0.0,0.0,0.0,0.0,0.0,-0.11,0.4666666666666666,0.2133333333333333,0.0,-2.333333333333333,-0.6666666666666666,-1.3333333333333333,0.0,-2.0,10.0,6.0,0.0,-7.3,-3.3428133333333334,-4.671406666666667,0.0,0.6133333333333334,2.0700000000000003,1.4800000000000002,1.0,2.4,2.8,2.4,0.6462399999999999,1.4686800000000002,1.53832,1.3384,7.2,13.6,15.2,15.2,96.4,186.4,145.2,118.8,108.412,215.3570456,214.3530456,243.72063240000003,9.76136,19.663640000000004,24.48408,17.8762,1.0,1.6666666666666667,3.6666666666666665,2.0,0.5526333333333333,1.0082000000000002,1.6826333333333334,0.9447333333333332,3.0,9.333333333333334,12.333333333333336,7.333333333333332,54.0,103.33333333333331,124.0,64.66666666666667,45.87000000000001,126.52666666666666,194.6534853333333,117.90840933333334,10.1056,14.287466666666669,30.0664,15.474666666666666,0.0,0.0,0.0,0.0,0.0,2.8,3.98,13.039999999999996,0.0,20.0,28.0,90.0,0.0,124.0,196.0,516.0,0.0,-7.580000000000001,-8.42,-14.839999999999998,17.0,32.0,58.0,100.0,11.4823,22.8916,40.8462,60.33200000000001,90.0,248.0,340.0,264.0,1960.0,3704.0,6652.0,6152.0,140.57090000000002,244.1824000000001,469.03039999999993,876.5120000000001,1.0,6.0,10.0,22.0,1.4641,5.3966,9.8252,16.4318,36.0,96.0,192.0,252.0,784.0,1232.0,2352.0,2800.0,3.6481,36.3664,52.5632,108.6026,29.0,62.0,100.0,114.0,13.236,32.2366,48.092,49.6266,162.0,402.0,580.0,598.0,1085.0,2468.0,3108.0,2914.0,200.7136,426.7436000000001,696.9576,731.345
qmof-2c7948e_primitive,qmof-2c7948e_primitive.cif,10.06462,9.59439,10.04461,1567.36,731.628,596.619,0.2642,0.2154465909368909,0.2642,0.0,0.215447,0.0,414.097,0.0,0.0,0.0,0.0,0.0,0.0,0.1599999999999999,-0.05,0.3199999999999999,0.0,0.5,-1.0,0.0,0.0,4.5,2.5,9.0,0.0,-3.503555,-8.850000000000005,-7.00711,0.0,1.11,1.1800000000000002,2.22,0.0,0.0,0.0,0.0,0.0,-0.03,0.34,-0.06,0.0,-2.0,-1.0,-3.0,0.0,1.5,8.0,3.0,0.0,-4.950000000000002,-4.00711,-9.900000000000004,0.0,0.6900000000000003,1.7749999999999997,1.3800000000000006,1.0,2.0,2.5,3.0,0.5477,0.9898000000000002,1.41375,1.4170999999999998,5.0,10.5,15.5,15.0,56.5,73.0,119.0,97.0,41.425,115.811307,169.42000000000004,176.86261399999998,10.5376,16.226799999999997,21.9308,23.212,1.0,1.5,3.0,2.0,0.5477,0.8510500000000002,1.4025,1.1396,2.5,7.5,10.0,9.0,56.5,69.5,105.0,90.0,41.425,99.135,160.962614,143.51,10.5376,12.8828,24.742799999999992,16.523999999999997,0.0,0.0,0.0,0.0,0.0,2.56,3.6999999999999993,8.999999999999996,0.0,6.0,6.0,24.0,0.0,86.0,136.0,292.0,0.0,-5.36,-4.88,-8.180000000000003,11.0,20.0,28.0,36.0,7.591799999999999,14.978,21.5216,20.3052,48.0,112.0,126.0,88.0,1309.0,2296.0,3046.0,1724.0,90.2536,152.3104,218.68320000000003,318.9152,1.0,4.0,6.0,12.0,1.9044,4.0848,6.3204,10.4328,16.0,40.0,72.0,96.0,841.0,870.0,1102.0,1624.0,3.61,24.62400000000001,30.932,58.862,17.0,36.0,56.0,64.0,7.6185,18.004,26.615600000000004,26.778400000000005,92.0,228.0,328.0,308.0,519.0,1096.0,1584.0,1422.0,118.3704,246.8752,382.8372,416.739
qmof-5c354ae_primitive,qmof-5c354ae_primitive.cif,9.93052,9.78207,9.93052,2850.14,893.426,793.233,0.3065,0.2721275670108585,0.3065,0.0,0.272128,0.0,873.569,0.0,0.0,0.0,0.0,0.0,0.0,0.1033333333333333,0.63,0.24,0.0,0.3333333333333333,4.333333333333333,0.6666666666666666,0.0,3.166666666666666,10.166666666666664,4.666666666666667,0.0,-3.2857033333333336,3.8714833333333343,-0.0714066666666666,0.0,0.8366666666666669,1.4966666666666664,0.8566666666666666,0.0,0.0,0.0,0.0,0.0,-0.04,-0.0366666666666667,-0.0266666666666667,0.0,-2.0,-2.333333333333333,-5.333333333333333,0.0,2.0,1.8333333333333333,5.5,0.0,-6.000000000000001,-5.050000000000002,-12.867851666666668,0.0,0.8900000000000002,0.7933333333333338,2.135000000000001,0.5,1.3333333333333333,2.6666666666666665,1.3333333333333333,0.2763166666666667,0.6674333333333333,1.0175666666666665,0.5598666666666666,4.333333333333333,12.666666666666664,12.166666666666664,7.666666666666669,27.0,45.33333333333334,64.33333333333333,37.0,22.93500000000001,90.782538,107.75269000000002,60.45174266666667,5.0528,10.151333333333332,20.93173333333334,10.4632,1.0,1.0,2.0,2.333333333333333,0.5328999999999998,0.5621,1.092566666666667,1.2629,1.0,3.0,4.333333333333333,7.666666666666665,64.0,48.0,113.33333333333336,105.33333333333336,28.089999999999996,59.88999999999999,82.945,133.74294716666668,11.8336,8.771999999999997,20.938133333333337,20.26733333333333,0.0,0.0,0.0,0.0,0.0,3.96,3.7199999999999993,8.36,0.0,20.0,18.0,45.0,0.0,102.0,114.0,232.0,0.0,-11.340000000000002,-5.999999999999999,-19.72,81.0,174.0,348.0,450.0,34.54410000000004,94.69859999999996,166.72919999999988,204.5718,534.0,1482.0,2256.0,2364.0,3921.0,10560.0,18096.0,19320.0,550.9535999999998,1143.543000000001,2599.2257999999997,3037.6985999999984,1.0,6.0,8.0,13.0,1.9321,6.0882,10.286,13.496899999999997,36.0,96.0,180.0,198.0,625.0,1200.0,2150.0,2325.0,2.4025000000000003,31.992,28.52000000000001,61.7985,26.0,54.0,84.0,108.0,12.3194,27.95100000000001,41.67880000000002,48.967600000000026,138.0,342.0,484.0,524.0,894.0,1728.0,2608.0,2892.0,191.0766,367.65899999999993,582.4264,731.2979999999998
qmof-6032da7_primitive,qmof-6032da7_primitive.cif,5.54352,5.12394,5.54352,1938.17,1262.74,803.604,0.348,0.2214670281415861,0.348,0.0,0.221467,0.0,674.484,0.0,0.0,0.0,0.0,0.0,0.0,0.2266666666666666,-0.0133333333333333,-0.0533333333333333,0.0,2.0,0.6666666666666666,-1.3333333333333333,0.0,5.333333333333333,0.6666666666666666,2.6666666666666665,0.0,-2.671406666666668,-3.2,-9.2,0.0,1.1833333333333336,0.3566666666666669,1.246666666666667,0.0,0.0,0.0,0.0,0.0,-0.0311111111111111,0.2133333333333333,0.1955555555555555,0.0,-2.0,-2.0,-2.4444444444444446,0.0,1.5555555555555556,6.0,6.888888888888888,0.0,-5.066666666666667,-4.471406666666667,-6.938073333333334,0.0,0.7122222222222224,1.47,1.855555555555556,1.0,2.333333333333333,2.0,2.0,0.5526333333333332,1.132366666666667,1.115,1.1447333333333332,6.333333333333333,11.0,9.333333333333334,14.0,54.0,81.33333333333333,102.66666666666669,88.0,45.870000000000005,134.45174266666666,111.21999999999998,151.42,10.105600000000004,18.71173333333333,19.00826666666666,16.183999999999997,1.0,1.2222222222222223,2.4444444444444446,2.6666666666666665,0.5460555555555555,0.6939444444444445,1.1815777777777776,1.307911111111111,1.6666666666666667,5.0,7.111111111111112,6.888888888888888,57.333333333333336,56.22222222222223,93.1111111111111,101.7777777777778,39.943333333333335,82.60555555555555,129.3328537777778,141.27175799999998,10.6816,10.372355555555552,20.76844444444444,22.49404444444444,0.0,0.0,0.0,0.0,0.0,3.04,5.789999999999999,6.919999999999999,0.0,13.0,18.0,24.0,0.0,157.0,303.0,349.0,0.0,-7.17,-5.8100000000000005,-6.719999999999999,13.0,26.0,46.0,56.0,9.5491,20.854000000000003,33.20559999999999,31.9466,72.0,184.0,236.0,144.0,5534.0,8538.0,7320.0,4820.0,97.0137,179.63080000000002,340.23780000000005,425.7632,1.0,5.0,7.0,8.0,2.1904,6.4528,6.763599999999999,7.281599999999999,25.0,60.0,85.0,80.0,2304.0,3984.0,1584.0,1680.0,2.8561,26.3978,29.8116,34.205600000000004,15.333333333333334,30.666666666666668,45.333333333333336,52.66666666666666,6.782333333333334,15.0724,20.75333333333333,21.58153333333333,76.0,180.0,232.0,222.0,470.6666666666667,914.6666666666666,1220.0,1196.0,108.08706666666666,210.24546666666663,310.5556,349.97380000000004
qmof-2297abb_primitive,qmof-2297abb_primitive.cif,5.52903,5.03214,5.50228,590.142,1218.49,1040.62,0.3992,0.340925589061686,0.3992,0.0,0.340927,0.0,235.585,0.0,0.0,0.0,0.0,0.0,0.0,0.1299999999999999,-0.1,0.0599999999999998,0.0,-1.0,-3.0,-2.5,0.0,6.0,5.0,9.5,0.0,-6.383555,-13.56,-14.723555,0.0,1.78,2.3200000000000003,3.4800000000000004,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.06,0.0,-2.0,-2.0,-3.5,0.0,2.0,2.0,3.0,0.0,-6.000000000000001,-6.000000000000001,-9.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.3350000000000002,1.0,1.5,2.0,4.0,0.5185,0.68945,1.1088,2.0318,2.5,5.5,9.0,12.0,72.5,55.0,102.0,205.5,21.0388,63.0198415,102.15200000000002,143.9012957,13.837,13.2445,18.921,41.7379,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1096,1.0,3.0,4.0,5.5,64.0,48.0,112.0,104.0,28.09,59.89,87.98,103.88,11.8336,8.771999999999998,20.605599999999995,19.0748,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,3.74,4.080000000000001,0.0,22.0,22.0,28.0,0.0,30.0,52.0,48.0,0.0,-10.98,-4.939999999999999,-11.079999999999998,18.0,44.0,92.0,116.0,11.149599999999998,32.14919999999999,57.5994,60.41479999999999,140.0,412.0,650.0,556.0,1124.0,3296.0,5914.0,5024.0,159.2102,303.5455999999998,880.2257999999998,922.4704,1.0,6.0,7.0,8.0,1.5876,5.5188000000000015,6.400800000000001,7.56,36.0,84.0,120.0,120.0,169.0,624.0,507.0,728.0,2.5921000000000003,33.2304,26.0981,38.5756,14.0,27.0,38.0,45.0,6.816199999999999,14.084500000000006,19.364200000000004,21.02050000000001,65.0,151.0,190.0,182.0,579.0,964.0,1420.0,1530.0,118.2032,201.3625,295.8063999999999,350.96899999999994
qmof-167482e_primitive,qmof-167482e_primitive.cif,8.4802,4.83241,8.4802,3217.25,1582.79,1416.61,0.479,0.4287082367471874,0.479,0.0,0.428709,0.0,1541.06,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.5266666666666667,0.82,0.0,-0.4444444444444443,-2.777777777777777,0.7222222222222222,0.0,15.777777777777777,23.666666666666668,24.97222222222223,0.0,7.867877222222219,13.366666666666662,23.073235277777773,0.0,0.9866666666666668,0.7244444444444452,0.1225000000000004,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.2883333333333334,0.0,-2.0,-2.0,-3.1666666666666665,0.0,2.0,2.0,-4.333333333333333,0.0,-6.000000000000001,-6.000000000000001,-18.75,0.0,0.8900000000000002,0.8900000000000002,1.755,1.0,2.1666666666666665,3.1111111111111107,5.111111111111111,0.8197777777777776,1.2925833333333332,2.2501111111111114,3.5509444444444447,4.833333333333333,11.388888888888888,19.666666666666668,22.166666666666668,168.16666666666666,131.55555555555554,254.0,540.6388888888888,226.0183333333333,291.90356105555554,548.301111111111,692.7732367222221,8.525377777777779,15.370222222222225,22.07733333333333,40.18166666666668,1.0,1.0,2.0,2.0,0.5328999999999998,0.5621,1.095,1.2762833333333334,1.0,3.0,4.0,5.166666666666667,64.0,48.0,112.0,162.66666666666666,28.09,59.88999999999999,87.98,155.55499999999995,11.833600000000002,8.771999999999998,20.605599999999995,17.629999999999995,0.0,0.0,0.0,0.0,0.0,6.480000000000002,5.420000000000001,19.28,0.0,42.0,34.0,134.0,0.0,256.0,214.0,776.0,0.0,-16.88,-6.619999999999997,-47.07999999999999,54.0,152.0,432.0,672.0,38.94480000000001,137.06480000000013,306.56640000000027,470.58720000000017,632.0,2336.0,4812.0,6360.0,12084.0,33088.0,72384.0,91776.0,486.6785999999997,920.8192000000006,4251.559199999997,4714.176000000003,1.0,8.0,10.0,24.0,2.3716000000000004,8.9936,15.369200000000005,27.22720000000001,64.0,176.0,368.0,464.0,1600.0,2560.0,7440.0,7360.0,1.7689,36.60160000000001,26.493600000000004,105.06999999999998,19.166666666666668,40.333333333333336,61.0,67.33333333333333,10.279483333333332,22.78096666666667,34.72343333333334,37.12383333333334,101.33333333333331,248.33333333333331,354.3333333333333,347.0,1084.0,1782.0,2943.333333333333,3584.6666666666665,146.93913333333333,286.56999999999994,437.80073333333326,481.5251666666666
qmof-def2fe1_primitive,qmof-def2fe1_primitive.cif,7.64258,6.91642,7.63366,1167.39,1040.01,979.539,0.3482,0.3279553182070771,0.3482,0.0,0.327955,0.0,406.485,0.0,0.0,0.0,0.0,0.0,0.0,0.0599999999999999,-0.05,0.3899999999999999,0.0,-1.0,-2.25,-2.5,0.0,3.25,2.5,11.75,0.0,-4.7517775,-8.85,-10.7088875,0.0,1.0000000000000002,1.1800000000000006,3.0200000000000005,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.08,0.0,-2.0,-2.0,-4.0,0.0,2.0,2.0,4.0,0.0,-6.000000000000001,-6.000000000000001,-12.000000000000002,0.0,0.8900000000000001,0.8900000000000001,1.7800000000000002,1.0,1.75,2.5,4.25,0.5476999999999999,0.918575,1.4137499999999998,2.062125,3.25,7.75,12.25,18.75,56.5,71.5,119.0,141.0,41.425,105.10692075,169.42000000000002,266.45453475,10.5376,14.7748,21.9308,32.855999999999995,1.0,1.0,2.0,2.0,0.5328999999999999,0.5621,1.095,1.1242,1.0,3.0,4.0,6.0,64.0,48.0,112.0,96.0,28.09,59.89,87.98,119.78,11.8336,8.771999999999998,20.605599999999995,17.543999999999997,0.0,0.0,0.0,0.0,0.0,3.1800000000000006,3.74,4.080000000000001,0.0,22.0,22.0,28.0,0.0,30.0,52.0,48.0,0.0,-10.98,-4.939999999999999,-11.079999999999998,18.0,44.0,92.0,116.0,11.149599999999998,32.14919999999999,57.5994,60.4148,140.0,412.0,650.0,556.0,1124.0,3296.0,5914.0,5024.0,159.2102,303.5456000000001,880.2258000000003,922.4704,1.0,6.0,7.0,8.0,1.5876,5.5188000000000015,6.400800000000001,7.56,36.0,84.0,120.0,120.0,169.0,624.0,507.0,728.0,2.5921000000000003,33.2304,26.0981,38.5756,31.0,64.0,96.0,125.0,14.6775,33.0204,48.4612,58.770900000000026,160.0,393.0,558.0,649.0,1108.0,2109.0,3188.0,3604.0,235.32789999999997,453.0471,689.2777999999997,865.2264999999999
qmof-a40de84_primitive,qmof-a40de84_primitive.cif,6.08631,4.98687,6.0863,3494.04,998.686,914.114,0.2586,0.2367004723025665,0.2586,0.0,0.236701,0.0,903.559,0.0,0.0,0.0,0.0,0.0,0.0,-0.0106666666666666,0.0213333333333332,0.2879999999999998,0.0,0.0,0.2666666666666666,-0.1333333333333333,0.0,0.5333333333333333,0.5333333333333333,8.4,0.0,-2.079999999999999,0.7466666666666658,-2.363021333333334,0.0,0.2613333333333335,0.250666666666667,2.3746666666666667,0.0,0.0,0.0,0.0,0.0,-0.04,0.2133333333333333,0.1933333333333332,0.0,-2.0,-1.3333333333333333,-2.333333333333333,0.0,2.0,6.0,7.0,0.0,-6.600000000000001,-4.671406666666667,-7.371406666666668,0.0,0.9200000000000004,1.4800000000000002,1.91,0.6666666666666666,1.6,3.2,4.133333333333334,0.38076,0.9698666666666668,1.8174933333333332,2.186013333333333,4.8,13.333333333333334,22.666666666666668,30.666666666666668,38.0,65.06666666666666,162.66666666666666,147.20000000000002,74.36602666666668,166.3946666666667,260.5950933333333,399.46155786666674,7.243413333333333,11.77216,30.637546666666665,31.3672,1.0,1.3333333333333333,2.6666666666666665,2.333333333333333,0.5427666666666666,0.7597333333333335,1.3,1.126966666666667,2.0,6.0,8.0,7.333333333333333,59.0,60.0,107.33333333333331,82.66666666666667,36.98,95.67333333333332,136.635076,129.96174266666665,10.969600000000002,11.016,23.36373333333333,18.738666666666663,0.0,0.0,0.0,0.0,0.0,2.8800000000000003,3.24,7.440000000000001,0.0,14.0,12.0,32.0,0.0,111.0,144.0,290.0,0.0,-8.55,-5.4,-13.660000000000002,20.0,44.0,76.0,112.0,13.5636,32.8444,52.39319999999998,69.50880000000004,120.0,308.0,428.0,512.0,2698.0,5784.0,7408.0,8352.0,170.61700000000002,313.24800000000005,672.9868000000001,916.6079999999996,1.0,5.0,6.0,12.0,1.7161000000000002,4.8077000000000005,6.052200000000001,10.846800000000002,25.0,55.0,90.0,140.0,900.0,1170.0,1080.0,2100.0,2.7225,27.72,25.245,55.209,41.0,86.66666666666667,149.33333333333334,181.33333333333331,16.760100000000016,41.3884,64.84586666666671,78.70533333333336,236.0,592.0,875.3333333333334,1078.6666666666667,1069.3333333333333,2293.333333333333,3716.6666666666665,4264.0,270.5869,560.5988000000002,983.1456666666668,1173.4840000000006
qmof-b050ede_primitive,qmof-b050ede_primitive.cif,7.84022,6.11534,7.84022,4545.65,1553.18,1609.27,0.4318,0.4473943784554429,0.4318,0.0,0.447394,0.0,1962.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0762499999999999,0.2099999999999999,0.4418750000000001,0.0,0.125,-0.25,-1.0625,0.0,2.125,7.0,13.6875,0.0,1.111611250000001,3.4982224999999985,2.837973124999998,0.0,0.1587499999999999,0.4362500000000002,1.5287500000000005,0.0,0.0,0.0,0.0,0.0,-0.04,-0.04,-0.06,0.0,-2.0,-1.5,-2.5,0.0,2.0,2.0,3.0,0.0,-6.000000000000001,-6.000000000000001,-9.000000000000002,0.0,0.8900000000000002,0.8900000000000002,1.3350000000000002,0.5,1.0,1.625,2.125,0.3298874999999999,0.6903875,0.9011625,1.1188750000000007,2.75,6.25,8.25,13.5,56.0,109.0,94.0,108.0,57.57874999999997,107.50346037500005,120.19073350000006,209.37441449999983,5.26965,8.424774999999999,15.228449999999995,16.078775000000004,1.0,1.0,2.0,1.5,0.5328999999999998,0.5621,1.0950000000000002,0.8431500000000002,1.0,3.0,3.5,4.0,64.0,48.0,112.0,72.0,28.089999999999996,59.88999999999999,87.98,89.835,11.8336,8.771999999999997,20.605599999999992,13.157999999999996,0.0,0.0,0.0,0.0,0.0,2.8266666666666667,2.2566666666666664,6.553333333333336,0.0,17.0,11.0,40.0,0.0,26.66666666666667,32.0,71.33333333333333,0.0,-9.759999999999998,-3.956666666666665,-19.62,24.0,58.0,114.0,154.0,15.917699999999998,43.46420000000002,77.44059999999998,102.2438,172.0,476.0,818.0,966.0,1620.0,4496.0,8160.0,9904.0,217.30169999999995,402.8927999999999,1091.5238,1170.7007999999998,1.0,5.333333333333333,6.333333333333332,12.666666666666664,1.5876,4.9056000000000015,7.2114,11.852400000000005,28.66666666666667,62.66666666666666,122.66666666666669,145.33333333333334,169.0,554.6666666666666,654.3333333333334,1213.3333333333333,2.5921000000000003,29.53813333333333,22.78686666666667,64.42146666666667,36.0,74.0,128.0,187.0,17.079400000000007,39.9994,63.3632,82.958,202.0,531.0,830.0,1051.0,1666.0,3512.0,4586.0,5549.0,271.08379999999994,518.1014,925.1226000000004,1246.8859000000004
