qmof_id,name,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins
qmof-7d69ad1,FUSYUO_FSR,Cd6C162H96O36,CdC27H16O6,,,['[Cd]'],['[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]'],[Cd].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],,300,14.91745,15.01442,0.979116950367809,5584.680745581281,P3_121,152,trigonal,32,True,CSD,,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-2079.98765117,-19.68962,-2060.29803117,0.0,1.5161289999999998,0.10351899999999997,-2.26261,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-e3283fb,OFODAP_FSR,Cd8C100H108N20O44,Cd2C25H27N5O11,"[Cd].[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-] MOFid-v1.pts,tfi.cat0",Cd.MXBBZODCMBYDCL.MOFkey-v1.pts,['[Cd]'],['[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-]'],[Cd].[O-]C(=O)c1cc([N][N]c2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],pts,280,4.50205,5.37674,1.1517161152188653,4604.118778028314,Pna2_1,33,orthorhombic,mm2,True,CSD,https://doi.org/10.1021/cg8001114,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-1793.00139614,-15.64885,-1777.35254614,0.0,1.864149,0.006677999999999962,-2.707471,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-288d36e,boydwoo_str_m3_o13_o22_pcu_sym_144,Zn2C39H18I6N2O17,Zn2C39H18I6N2O17,O=CC1C2(C(=O)[O-])C(I)C(C(C1(C=O)C=O)(C(C2(I)C=O)I)C(=O)[O-])I.O=Cc1c(C=O)c(C(=O)[O-])c(c2c1cc(cc2C=O)C(=O)[O-])I.O=Cc1ncc2c(c1)c(I)ncc2C=O.[Zn][Zn] MOFid-v1.pcu.cat0,Zn.GYISKXMQEBJMMV.IWSQACSPGVTOAB.XVLOUCQTGOKTIY.MOFkey-v1.pcu,['[Zn][Zn]'],"['O=CC1C2(C(=O)[O-])C(I)C(C(C1(C=O)C=O)(C(C2(I)C=O)I)C(=O)[O-])I', 'O=Cc1c(C=O)c(C(=O)[O-])c(c2c1cc(cc2C=O)C(=O)[O-])I', 'O=Cc1ncc2c(c1)c(I)ncc2C=O']",O=CC1C2(C(=O)[O-])C(I)C(C(C1(C=O)C=O)(C(C2(I)C=O)I)C(=O)[O-])I.O=Cc1c(C=O)c(C(=O)[O-])c(c2c1cc(cc2C=O)C(=O)[O-])I.O=Cc1ncc2c(c1)c(I)ncc2C=O.[Zn][Zn],pcu,84,4.75445,6.71398,1.654169070271903,1685.2731186611766,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 2]",False,False,-559.27801911,-7.16746,-552.1105591099999,0.0,1.246327,0.072098,-2.024229,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-d816f85,boydwoo_str_m3_o17_o22_pcu_sym_162,Zn2C59H62N2O13,Zn2C59H62N2O13,CCCc1ncc2c3c1ccc1c3c(c(c2CCC)CCC)cnc1CCC.COC1C(OC)C2(CCC1(C(=O)[O-])C(C2OC)OC)C(=O)[O-].COc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat0,Zn.OGBFSPYSPKWWJY.QFTLBKNNGAGBTQ.SLDGOABHWRUSJR.MOFkey-v1.pcu,['[Zn][Zn]'],"['CCCc1ncc2c3c1ccc1c3c(c(c2CCC)CCC)cnc1CCC', 'COC1C(OC)C2(CCC1(C(=O)[O-])C(C2OC)OC)C(=O)[O-]', 'COc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-]']",CCCc1ncc2c3c1ccc1c3c(c(c2CCC)CCC)cnc1CCC.COC1C(OC)C2(CCC1(C(=O)[O-])C(C2OC)OC)C(=O)[O-].COc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].[Zn][Zn],pcu,138,5.13267,7.63697,0.8285066096817687,2280.737082885922,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 1, 1]",True,False,-877.32775344,-7.71718,-869.61057344,0.0,1.802108,0.08412799999999998,-2.56798,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-7b5d65b,boydwoo_str_m4_Al_o17_o23_acs_sym_133,Al6C105H80O34,Al6C105H80O34,CCCOC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2O.O[Al][O]([Al])[Al].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-] MOFid-v1.acs.cat0,Al.BDADDUCGJXSXEO.OTAJGWQCQIEFEV.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['CCCOC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2O', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-]']",CCCOC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2O.O[Al][O]([Al])[Al].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-],acs,225,5.37015,7.65001,0.8122888742566854,4185.90678492177,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1526.6703102,-12.74616,-1513.9241502,0.0,1.7701079999999998,0.035265999999999964,-2.5848419999999996,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-6038f07,boydwoo_str_m4_Al_o17_o23_acs_sym_46,Al6C96Cl12H50O46S6,Al3C48Cl6H25O23S3,O[Al][O]([Al])[Al].[O-]C(=O)C#CC12CC(S(O)([O])[O])C(CC1Cl)(C(C2Cl)Cl)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(S([O])([O])O)C(CC1Cl)(C(C2Cl)Cl)C#CC(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4c(c(c3)C(=O)[O-])S(O)([O])[O])Cl MOFid-v1.acs.cat0,Al.GFMJQUBZBUVOGN.OCZZUKKXJQDNIW.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['[O-]C(=O)C#CC12CC(S(O)([O])[O])C(CC1Cl)(C(C2Cl)Cl)C#CC(=O)[O-]', '[O-]C(=O)C#CC12CC(S([O])([O])O)C(CC1Cl)(C(C2Cl)Cl)C#CC(=O)[O-]', '[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4c(c(c3)C(=O)[O-])S(O)([O])[O])Cl']",O[Al][O]([Al])[Al].[O-]C(=O)C#CC12CC(S(O)([O])[O])C(CC1Cl)(C(C2Cl)Cl)C#CC(=O)[O-].[O-]C(=O)C#CC12CC(S([O])([O])O)C(CC1Cl)(C(C2Cl)Cl)C#CC(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4c(c(c3)C(=O)[O-])S(O)([O])[O])Cl,acs,216,6.05293,7.84575,0.991486774223632,4553.960315165706,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1461.04438044,-15.7207,-1445.32368044,0.0,1.284792,0.06826699999999997,-2.066525,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-f1bf5ff,boydwoo_str_m4_Al_o17_o23_acs_sym_55,Al6C99F3H68N3O28,Al6C99F3H68N3O28,CNC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2F.O[Al][O]([Al])[Al].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-] MOFid-v1.acs.cat0,Al.IHNTYTPMVWZGDT.OTAJGWQCQIEFEV.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['CNC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2F', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-]']",CNC1CC2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2F.O[Al][O]([Al])[Al].[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-],acs,207,5.1119,7.35006,0.8229880181849971,3967.771523859648,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002', 'F 08Apr2002']",520,"[2, 2, 1]",True,False,-1423.53329409,-11.99298,-1411.54031409,0.0,1.701986,0.042949000000000015,-2.5090369999999997,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b0179be,boydwoo_str_m4_Al_o17_o25_acs_sym_154,Al6C101H50O33,Al6C101H50O33,CCCOc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3C(=O)O)C(=O)[O-])C(=O)O.[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-] MOFid-v1.acs.cat0,Al.CYFXDBXUDLMKJO.JJYOEAZRGCWWCA.OTAJGWQCQIEFEV.VPNHZAKITSXAFU.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['CCCOc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-]', '[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3C(=O)O)C(=O)[O-])C(=O)O', '[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-]']",CCCOc1cc2cc(cc3c2c2c1cc(cc2cc3)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2C1C3C42C#CC(=O)[O-].[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3C(=O)O)C(=O)[O-])C(=O)O.[O-]C(=O)c1cc2ccc3c4c2c(c1)ccc4cc(c3)C(=O)[O-],acs,190,5.14313,7.62173,0.8194770888354433,3958.145098677908,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1356.3796578,-11.34238,-1345.0372778,0.0,1.760134,0.007176999999999989,-2.602957,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-8325046,boydwoo_str_m4_Al_o17_o25_acs_sym_181,Al6C105H62O52S8,Al6C105H62O52S8,CCCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])S([O])([O])O.CCCC12C3C4C2(C2(C1C3(C42S([O])([O])O)C#CC(=O)[O-])S(O)([O])[O])C#CC(=O)[O-].CCCc1c(cc2c3c1ccc1c3c(cc2)cc(c1)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])S([O])(O)[O].[O-]C(=O)c1cc2cc(c3c4c2c(c1)c(cc4c(c(c3)C(=O)[O-])S([O])([O])O)S([O])(O)[O])S([O])([O])O.[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])S([O])(O)[O] MOFid-v1.acs.cat0,Al.CSPDGXUUMNDRRQ.GVQIOBZAKGMCFX.OEUDJLZWLOYEDB.SEGAYEXNQBZHQN.UVJRLTXVQCKAKF.XPFOQIGAIKXVQZ.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['CCCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])S([O])([O])O', 'CCCC12C3C4C2(C2(C1C3(C42S([O])([O])O)C#CC(=O)[O-])S(O)([O])[O])C#CC(=O)[O-]', 'CCCc1c(cc2c3c1ccc1c3c(cc2)cc(c1)C(=O)[O-])C(=O)[O-]', '[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])S([O])(O)[O]', '[O-]C(=O)c1cc2cc(c3c4c2c(c1)c(cc4c(c(c3)C(=O)[O-])S([O])([O])O)S([O])(O)[O])S([O])([O])O', '[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])S([O])(O)[O]']",CCCC12C3C4C1(C#CC(=O)[O-])C1C2(C3(C41)C#CC(=O)[O-])S([O])([O])O.CCCC12C3C4C2(C2(C1C3(C42S([O])([O])O)C#CC(=O)[O-])S(O)([O])[O])C#CC(=O)[O-].CCCc1c(cc2c3c1ccc1c3c(cc2)cc(c1)C(=O)[O-])C(=O)[O-].O[Al][O]([Al])[Al].[O-]C(=O)C#CC12C3C4C2C2(C1C3C42C#CC(=O)[O-])S([O])(O)[O].[O-]C(=O)c1cc2cc(c3c4c2c(c1)c(cc4c(c(c3)C(=O)[O-])S([O])([O])O)S([O])(O)[O])S([O])([O])O.[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])S([O])(O)[O],acs,233,5.22156,7.43225,1.0020440993983646,4265.498179086843,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1597.62442814,-15.71178,-1581.91264814,0.0,1.1116279999999998,0.009357999999999977,-1.95227,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-c3298fb,boydwoo_str_m4_Al_o23_o23_acs_sym_159,Al6C90Cl6H80O34,Al3C45Cl3H40O17,COC1CC2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2Cl)Cl)OC.O[Al][O]([Al])[Al].[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-] MOFid-v1.acs.cat0,Al.GOOXBMRYAABKGY.NSFSUXSOCBXSLU.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['COC1CC2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2Cl)Cl)OC', '[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-]']",COC1CC2(C#CC(=O)[O-])C(CC1(C#CC(=O)[O-])C(C2Cl)Cl)OC.O[Al][O]([Al])[Al].[O-]C(=O)C#CC12CCC(CC1)(CC2)C#CC(=O)[O-],acs,216,6.1379,8.28942,0.7367779317792901,4688.289865558986,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'Cl 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1386.67030332,-12.0394,-1374.63090332,0.0,2.070448,0.011876999999999971,-2.908571,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
