qmof_id,name,info.formula,info.formula_reduced,info.mofid.mofid,info.mofid.mofkey,info.mofid.smiles_nodes,info.mofid.smiles_linkers,info.mofid.smiles,info.mofid.topology,info.natoms,info.pld,info.lcd,info.density,info.volume,info.symmetry.spacegroup,info.symmetry.spacegroup_number,info.symmetry.spacegroup_crystal,info.symmetry.pointgroup,info.synthesized,info.source,info.doi,inputs.pbe.theory,inputs.pbe.pseudopotentials,inputs.pbe.encut,inputs.pbe.kpoints,inputs.pbe.gamma,inputs.pbe.spin,outputs.pbe.energy_total,outputs.pbe.energy_vdw,outputs.pbe.energy_elec,outputs.pbe.net_magmom,outputs.pbe.bandgap,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.directgap,outputs.pbe.bandgap_spins,outputs.pbe.cbm_spins,outputs.pbe.vbm_spins,outputs.pbe.directgap_spins,inputs.hle17.theory,inputs.hle17.pseudopotentials,inputs.hle17.encut,inputs.hle17.kpoints,inputs.hle17.gamma,inputs.hle17.spin,inputs.hse06_10hf.theory,inputs.hse06_10hf.pseudopotentials,inputs.hse06_10hf.encut,inputs.hse06_10hf.kpoints,inputs.hse06_10hf.gamma,inputs.hse06_10hf.spin,inputs.hse06.theory,inputs.hse06.pseudopotentials,inputs.hse06.encut,inputs.hse06.kpoints,inputs.hse06.gamma,inputs.hse06.spin,outputs.hle17.energy_total,outputs.hle17.energy_vdw,outputs.hle17.energy_elec,outputs.hle17.net_magmom,outputs.hle17.bandgap,outputs.hle17.cbm,outputs.hle17.vbm,outputs.hle17.directgap,outputs.hle17.bandgap_spins,outputs.hle17.cbm_spins,outputs.hle17.vbm_spins,outputs.hle17.directgap_spins,outputs.hse06_10hf.energy_total,outputs.hse06_10hf.energy_vdw,outputs.hse06_10hf.energy_elec,outputs.hse06_10hf.net_magmom,outputs.hse06_10hf.bandgap,outputs.hse06_10hf.cbm,outputs.hse06_10hf.vbm,outputs.hse06_10hf.directgap,outputs.hse06_10hf.bandgap_spins,outputs.hse06_10hf.cbm_spins,outputs.hse06_10hf.vbm_spins,outputs.hse06_10hf.directgap_spins,outputs.hse06.energy_total,outputs.hse06.energy_vdw,outputs.hse06.energy_elec,outputs.hse06.net_magmom,outputs.hse06.bandgap,outputs.hse06.cbm,outputs.hse06.vbm,outputs.hse06.directgap,outputs.hse06.bandgap_spins,outputs.hse06.cbm_spins,outputs.hse06.vbm_spins,outputs.hse06.directgap_spins
qmof-2c7948e,SEGBOX_FSR,Cu3C48H30N12O12,CuC16H10N4O4,[Cu].[O-]C(=O)c1ccc2c(c1)c[n-][nH]2 MOFid-v1.nbo.cat0,Cu.OBLHFBBKFPBNGU.MOFkey-v1.nbo,['[Cu]'],['[O-]C(=O)c1ccc2c(c1)c[n-][nH]2'],[Cu].[O-]C(=O)c1ccc2c(c1)c[n-][nH]2,nbo,105,9.59446,10.06479,1.2262730162957252,1567.3610232817252,R-3,148,trigonal,-3,True,CSD,https://doi.org/10.1039/c2cc37453f,PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[5, 1, 1]",True,True,-741.5506443,-7.91755,-733.6330943,3.0,1.80559,0.163323,-1.6422670000000001,False,"[2.436686, 1.506369]","[1.219419, -0.261677]","[-1.217267, -1.768046]","[False, True]",HLE17//PBE-D3BJ,"['Cu 22Jun2005', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[4, 1, 1]",True,True,,,,,,,,,,,,,-4970.19152767,0.0,-4970.19152767,3.0,0.800487,-2.734603,-3.53509,True,"[3.21771, 0.8150460000000002]","[-0.31738, -2.734603]","[-3.53509, -3.549649]","[True, True]",,,,,,,,,,,,,,,,,,,,,,,,
qmof-6032da7,QIWJAK_FSR,Cd4C40H36I4N12O12,CdC10H9IN3O3,NNC(=O)c1ccncc1.[Cd]I.[O-]C(=O)c1ccc(cc1)C(=O)[O-] MOFid-v1.hcb.cat0,Cd.KKEYFWRCBNTPAC.QRXWMOHMRWLFEY.MOFkey-v1.hcb,['[Cd]I'],"['NNC(=O)c1ccncc1', '[O-]C(=O)c1ccc(cc1)C(=O)[O-]']",NNC(=O)c1ccncc1.[Cd]I.[O-]C(=O)c1ccc(cc1)C(=O)[O-],hcb,108,5.12398,5.54366,1.5713310844601238,1938.171981598589,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1021/acs.cgd.8b01806,PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-694.25603066,-7.93001,-686.3260206599999,0.0,2.985479,0.515355,-2.4701239999999998,False,"[None, None]","[None, None]","[None, None]","[None, None]",HLE17//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ-HF10//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,HSE06-D3BJ//PBE-D3BJ,"['Cd 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'I 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520.0,"[1, 1, 1]",True,False,-12120.65136172,0.0,-12120.65136172,0.0,2.118252,-1.51401,-3.632262,True,"[None, None]","[None, None]","[None, None]","[None, None]",-743.84361902,-7.14649,-736.69712902,0.0,2.590415,0.25261,-2.337805,True,"[None, None]","[None, None]","[None, None]","[None, None]",-820.32726955,-7.14649,-813.18077955,0.0,3.272997,0.495304,-2.777693,True,"[None, None]","[None, None]","[None, None]","[None, None]"
qmof-2297abb,gmof_Al2O6-BDC_B-fum_B_No91,Al2C12FH7O12,Al2C12FH7O12,OC(=C(C(=O)[O-])O)C(=O)[O-].[Al].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[OH] MOFid-v1.rna.cat0,Al.BZCOSCNPHJNQBP.YUWKPDBHJFNMAD.MOFkey-v1.rna,"['[Al]', '[OH]']","['OC(=C(C(=O)[O-])O)C(=O)[O-]', '[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-]']",OC(=C(C(=O)[O-])O)C(=O)[O-].[Al].[O-]C(=O)c1ccc(c(c1)F)C(=O)[O-].[OH],rna,34,5.0119,5.53656,1.1709271720502703,590.1424571873348,P1,1,triclinic,1,False,GMOF,https://figshare.com/s/ec378d7315581e48f1e4,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'O 08Apr2002', 'F 08Apr2002']",520,"[4, 3, 2]",True,False,-240.29490843,-2.13112,-238.16378843,0.0,2.387713,0.653867,-1.733846,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-167482e,gmof_Uio66Zr-irmof20_A-irmof8_A_No311,Zr6C52H24N4O37S10,Zr6C52H24N4O37S10,[O-]C(=O)c1cc(N)c2c(c1N)c(N)cc(c2N)C(=O)[O-].[O-]C(=O)c1sc2c(c1)sc(c2O)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43 MOFid-v1.fcu.cat0,Zr.IKXIOBONDPLGLG.ZHQGTZYBEQGIDD.MOFkey-v1.fcu,['[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43'],"['[O-]C(=O)c1cc(N)c2c(c1N)c(N)cc(c2N)C(=O)[O-]', '[O-]C(=O)c1sc2c(c1)sc(c2O)C(=O)[O-]']",[O-]C(=O)c1cc(N)c2c(c1N)c(N)cc(c2N)C(=O)[O-].[O-]C(=O)c1sc2c(c1)sc(c2O)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,fcu,133,4.82188,8.48048,1.117301977175879,3217.254283139111,P1,1,triclinic,1,False,GMOF,https://figshare.com/s/ec378d7315581e48f1e4,PBE-D3BJ,"['Zr_sv 04Jan2005', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[1, 1, 1]",True,False,-983.80293996,-9.79814,-974.00479996,0.0,1.861027,0.646978,-1.214049,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-def2fe1,gmof_Al2O6-AZO_B-irmof7_B_No18,Al2C30H16N2O18,AlC15H8NO9,OC(=O)c1cc2c(C(=O)[O-])c(C(=O)O)c(c(c2cc1C(=O)O)C(=O)[O-])C(=O)O.[Al].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-].[OH] MOFid-v1.rna.cat0,Al.GWQIEOSHDNDHSZ.NWHZQELJCLSKNV.MOFkey-v1.rna,"['[Al]', '[OH]']","['OC(=O)c1cc2c(C(=O)[O-])c(C(=O)O)c(c(c2cc1C(=O)O)C(=O)[O-])C(=O)O', '[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-]']",OC(=O)c1cc2c(C(=O)[O-])c(C(=O)O)c(c(c2cc1C(=O)O)C(=O)[O-])C(=O)O.[Al].[O-]C(=O)c1ccc(cc1)[N][N]c1ccc(cc1)C(=O)[O-].[OH],rna,68,6.91642,7.64258,1.0617259795686722,1167.3907967856758,P1,1,triclinic,1,False,GMOF,https://figshare.com/s/ec378d7315581e48f1e4,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 2, 1]",True,False,-489.84592793,-4.64052,-485.20540793,0.0,2.408195,0.17993299999999998,-2.228262,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-a40de84,WORSUT_FSR,Zn4B4C110F8H96N12O16,Zn2B2C55F4H48N6O8,C(Cc1ccncc1)Cc1ccncc1.[O-]C(=O)c1c(C)c2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)c(C)c(c1C)C(=O)[O-].[Zn][Zn] MOFid-v1.pcu.cat1,Zn.HCTJUFZDNWFNEU.OGNCVVRIKNGJHQ.MOFkey-v1.pcu,['[Zn][Zn]'],"['C(Cc1ccncc1)Cc1ccncc1', '[O-]C(=O)c1c(C)c2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)c(C)c(c1C)C(=O)[O-]']",C(Cc1ccncc1)Cc1ccncc1.[O-]C(=O)c1c(C)c2n(c1C)[B](F)(F)n1c([C]2c2ccccc2)c(C)c(c1C)C(=O)[O-].[Zn][Zn],pcu,250,4.98686,6.08628,1.0925386483727642,3494.041619976568,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1021/ic502219y,PBE-D3BJ,"['Zn 06Sep2000', 'B 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002', 'F 08Apr2002']",520,"[1, 1, 1]",True,False,-1658.84347619,-16.28397,-1642.55950619,0.0,2.72684,0.624905,-2.101935,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-b050ede,boydwoo_str_m4_Al_o2_o23_acs_sym_121,Al6C84H62O64S12,Al3C42H31O32S6,O[Al][O]([Al])[Al].[O-]C(=O)C#CC12CC(S([O])([O])O)C(CC1S(O)([O])[O])(C(C2S([O])(O)[O])S(O)([O])[O])C#CC(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-] MOFid-v1.acs.cat0,Al.NEQFBGHQPUXOFH.VSLKIEQWLMETJA.MOFkey-v1.acs,['O[Al][O]([Al])[Al]'],"['[O-]C(=O)C#CC12CC(S([O])([O])O)C(CC1S(O)([O])[O])(C(C2S([O])(O)[O])S(O)([O])[O])C#CC(=O)[O-]', '[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-]']",O[Al][O]([Al])[Al].[O-]C(=O)C#CC12CC(S([O])([O])O)C(CC1S(O)([O])[O])(C(C2S([O])(O)[O])S(O)([O])[O])C#CC(=O)[O-].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],acs,228,6.1155,7.84021,0.9651374283682712,4545.653779526804,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'O 08Apr2002']",520,"[2, 2, 1]",True,False,-1514.59426841,-15.49159,-1499.10267841,0.0,2.360812,0.232571,-2.128241,True,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-44d0651,boydwoo_str_m5_Al_o11_o17_sra_sym_67,Al4C48H34N6O20,Al2C24H17N3O10,[Al].[O-]C(=O)C=CC(=C(C(=O)[O-])N)N.[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])N.[OH] MOFid-v1.rna.cat0,Al.MEXRQARBLQIHCD.VNAFSMJGJXYXHN.MOFkey-v1.rna,"['[Al]', '[OH]']","['[O-]C(=O)C=CC(=C(C(=O)[O-])N)N', '[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])N']",[Al].[O-]C(=O)C=CC(=C(C(=O)[O-])N)N.[O-]C(=O)c1cc2ccc3c4c2c(c1)cc(c4cc(c3)C(=O)[O-])N.[OH],rna,112,5.88978,6.86873,0.8798789130984389,2118.87129087912,P1,1,triclinic,1,False,BoydWoo,https://doi.org/10.24435/materialscloud:2018.0016/v3,PBE-D3BJ,"['Al 04Jan2001', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-790.16585205,-6.84793,-783.31792205,0.0,2.229365,0.346407,-1.8829580000000001,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-95ce74c,core_ECAHAT_freeONLY,Zn3C90H72N6O12,ZnC30H24N2O4,CC(=O)[CH]C(=O)c1ccc(cc1)c1ccncc1.[Zn] MOFid-v1.kgm.cat0,Zn.MLSFYLWKGLLDPP.MOFkey-v1.kgm,['[Zn]'],['CC(=O)[CH]C(=O)c1ccc(cc1)c1ccncc1'],CC(=O)[CH]C(=O)c1ccc(cc1)c1ccncc1.[Zn],kgm,183,11.70854,12.54075,0.8404832046493227,3212.075583993196,P-3,147,trigonal,-3,True,CoRE,,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-1223.91120455,-11.38818,-1212.5230245500002,0.0,2.973015,0.310313,-2.662702,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qmof-99d7983,SOFKOQ_FSR,Zn2C48H32N8O8S4,ZnC24H16N4O4S2,[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-].[Zn].n1ccc(cc1)c1nc2c(s1)nc(s2)c1ccncc1 MOFid-v1.dia.cat0,Zn.FKUJGZJNDUGCFU.KBXDZYVLDKNMQL.MOFkey-v1.dia,['[Zn]'],"['[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-]', 'n1ccc(cc1)c1nc2c(s1)nc(s2)c1ccncc1']",[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-].[Zn].n1ccc(cc1)c1nc2c(s1)nc(s2)c1ccncc1,dia,102,4.64033,5.26588,1.1834690282624978,1554.499544792852,C2/c,15,monoclinic,2/m,True,CSD,https://doi.org/10.1002/ejic.201900259,PBE-D3BJ,"['Zn 06Sep2000', 'H 15Jun2001', 'C 08Apr2002', 'S 06Sep2000', 'N 08Apr2002', 'O 08Apr2002']",520,"[3, 1, 1]",True,False,-698.40379887,-7.28519,-691.1186088699999,0.0,2.698988,0.608772,-2.090216,False,"[None, None]","[None, None]","[None, None]","[None, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
