qmof_id,info.pld,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.bandgap,water,StabilityScore,synthesized
qmof-4aba306,6.20711,-0.1126699999999999,-3.037786,2.925116,0.61,0.86,yes
qmof-0918da7,5.54273,-0.1267919999999999,-2.472669,2.345877,0.64,0.97,
qmof-a7d6d40,4.96545,-0.070768,-2.650219,2.579451,0.73,0.73,
qmof-7dfff4f,5.37936,-0.140312,-2.695028,2.554716,0.71,0.6,
qmof-53dfad5,6.20009,-0.047341,-2.370339,2.322998,0.63,0.76,
qmof-150e43b,7.66058,-0.1616559999999999,-2.607869,2.446213,0.61,0.8,
qmof-3e2b99e,5.13813,-0.04719,-2.665617,2.618427,0.74,0.8,
qmof-c906a20,5.93667,-0.022269,-2.548887,2.526618,0.59,0.59,
qmof-1ed0c50,4.93401,-0.056844,-2.762478,2.705634,0.73,0.89,
qmof-25d399e,21.78156,-0.107089,-3.023994,2.9169050000000003,0.54,0.94,
qmof-819df1b,5.1455,-0.056308,-2.891807,2.835499,0.77,0.73,
qmof-f48c59c,7.68093,-0.011292,-2.985202,2.97391,0.67,0.87,
qmof-1ad2593,5.51354,-0.072685,-2.787892,2.715207,0.75,0.8,
qmof-5108c60,5.95881,-0.0979129999999999,-2.253492,2.155579,0.64,0.73,yes
qmof-56dbe2b,7.33289,-0.129917,-2.672763,2.542846,0.59,0.68,
qmof-5d740ae,4.92995,-0.0099279999999999,-2.575604,2.565676,0.53,0.81,
qmof-449a0d1,21.06325,-0.01663,-2.733441,2.716811,0.51,0.93,
qmof-502b122,5.89033,-0.077324,-2.437373,2.360049,0.7,0.55,
qmof-1c25053,5.47571,-0.046081,-2.11467,2.068589,0.62,0.72,
qmof-2531f43,7.80887,-0.1144179999999999,-2.377403,2.262985,0.77,0.66,yes
qmof-0a464a7,5.29763,-0.0895149999999999,-2.509682,2.420167,0.76,0.71,
qmof-594c034,7.29348,-0.0304079999999999,-2.590811,2.560403,0.74,0.68,
qmof-6bab288,6.09557,-0.041969,-2.050198,2.008229,0.71,0.82,
qmof-5bd2003,6.90794,-0.129837,-2.597156,2.4673190000000003,0.63,0.74,
qmof-7c00823,5.48587,-0.166508,-3.115091,2.948583,0.51,0.56,
qmof-54d276d,6.02431,-0.0221089999999999,-2.400211,2.378102,0.71,0.75,
qmof-bafdee9,7.16309,-0.116092,-2.973596,2.857504,0.65,0.83,
qmof-91b0193,4.83452,-0.155418,-1.899824,1.744406,0.82,0.72,yes
qmof-d3eb92f,5.38699,-0.037507,-2.838317,2.80081,0.75,0.64,
qmof-2e2337f,7.50461,-0.087186,-2.537727,2.450541,0.65,0.8,
qmof-13f8e19,7.65032,-0.166138,-2.046881,1.880743,0.61,0.78,
qmof-bbbed4f,4.69137,-0.118876,-2.945218,2.826342,0.81,0.7,
qmof-e5b19b5,6.19507,-0.061688,-3.040033,2.978345,0.77,0.62,
qmof-7e0c32f,8.75008,-0.083868,-2.524638,2.44077,0.59,0.82,
qmof-0475987,7.77322,-0.1170629999999999,-2.211144,2.094081,0.69,0.7,
qmof-c2f7da3,6.23747,-0.0575209999999999,-2.49806,2.440539,0.67,0.76,yes
qmof-2e8198f,7.11522,-0.154457,-2.688986,2.534529,0.6,0.63,
qmof-ee62841,6.38434,-0.0148179999999999,-2.92455,2.9097320000000004,0.72,0.75,
qmof-525ab7b,4.72314,-0.153491,-3.046314,2.892823,0.63,0.63,
qmof-c921899,5.73452,-0.0763189999999999,-2.915818,2.839499,0.7,0.7,
qmof-00eae24,5.47465,-0.039639,-2.335068,2.295429,0.65,0.61,
qmof-b7e9d20,4.98253,-0.0065919999999999,-2.905287,2.8986950000000005,0.85,0.85,
qmof-35e0b44,5.69628,-0.150876,-2.305414,2.154538,0.71,0.65,
qmof-5a2471d,11.79355,-0.0904929999999999,-1.965464,1.874971,0.72,0.93,yes
qmof-d292655,7.60519,-0.104773,-2.508206,2.403433,0.61,0.64,
qmof-bd7e00b,5.68349,-0.003979,-2.407193,2.403214,0.71,0.51,
