qmof_id,info.pld,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.bandgap,water,StabilityScore,synthesized
qmof-3b48e5d,6.8969,0.0968769999999999,-2.685566,2.782443,0.81,0.7,yes
qmof-38471da,4.51344,0.01289,-2.145052,2.157942,0.68,0.62,
qmof-c3ad823,5.10553,0.055645,-2.660394,2.716039,0.66,0.63,
qmof-bd9ffd3,10.80226,0.102605,-2.710411,2.813016,0.63,0.77,
qmof-c3298fb,6.1379,0.0118769999999999,-2.908571,2.920448,0.7,0.7,
qmof-3a9ad54,5.36512,0.0790259999999999,-2.027249,2.106275,0.63,0.64,
qmof-60626cd,4.54552,0.10973,-2.208585,2.318315,0.9,0.59,yes
qmof-fa2b07a,5.31222,0.0141379999999999,-2.63665,2.650788,0.76,0.79,
qmof-8325046,5.22156,0.0093579999999999,-1.95227,1.961628,0.56,0.7,
qmof-10b2259,6.16276,0.021343,-2.747542,2.768885,0.62,0.7,
qmof-912bab6,6.35372,0.1149819999999999,-2.508359,2.6233410000000004,0.56,0.62,
qmof-f62972b,5.36479,0.1082889999999999,-2.540263,2.648552,0.75,0.92,
qmof-0bbe221,4.97713,0.0253459999999999,-2.677845,2.7031910000000003,0.63,0.95,
qmof-beb185c,5.34072,0.0300659999999999,-2.372555,2.402621,0.73,0.56,
qmof-d192e8d,7.06978,0.0575669999999999,-1.799417,1.856984,0.76,0.84,
qmof-077f6af,5.4041,0.041804,-2.331643,2.373447,0.72,0.78,
