qmof_id,info.pld,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.bandgap,water,solvent,synthesized
qmof-2c7948e,9.59446,0.163323,-1.642267,1.80559,0.92,0.92,yes
qmof-6032da7,5.12398,0.515355,-2.470124,2.985479,0.59,0.69,yes
qmof-2297abb,5.0119,0.653867,-1.733846,2.387713,0.64,0.88,
qmof-167482e,4.82188,0.646978,-1.214049,1.861027,0.87,0.82,
qmof-def2fe1,6.91642,0.1799329999999999,-2.228262,2.408195,0.58,0.85,
qmof-a40de84,4.98686,0.624905,-2.101935,2.72684,0.82,0.74,yes
qmof-b050ede,6.1155,0.232571,-2.128241,2.360812,0.6,0.64,
qmof-44d0651,5.88978,0.346407,-1.882958,2.229365,0.65,0.55,
qmof-95ce74c,11.70854,0.310313,-2.662702,2.973015,0.64,0.9,yes
qmof-99d7983,4.64033,0.608772,-2.090216,2.698988,0.62,0.74,yes
qmof-417c826,7.22416,1.244507,-1.456734,2.701241,0.79,0.78,yes
qmof-3eec122,5.01858,0.790859,-1.038767,1.829626,0.73,0.88,yes
qmof-b1e5ed5,4.66987,1.184561,-1.577732,2.762293,0.56,0.93,yes
qmof-bec91df,5.02292,0.246199,-2.548425,2.794624,0.64,0.57,
qmof-cca3b22,5.50978,0.334569,-2.054286,2.388855,0.59,0.59,
qmof-096bf27,4.53877,0.8648290000000001,-1.501454,2.366283,0.72,0.79,yes
qmof-97f5f79,4.54801,1.406656,-1.02608,2.432736,0.64,0.9,yes
qmof-e2185c7,4.9527,0.342997,-1.752985,2.095982,0.64,0.75,
qmof-aa8159f,4.89525,1.075076,-0.728795,1.803871,0.51,0.75,yes
qmof-f0c1c90,5.10122,0.1508399999999999,-2.745207,2.8960470000000003,0.54,0.82,yes
qmof-55ae928,4.8927,1.10752,-0.67656,1.78408,0.56,0.75,yes
qmof-b078db5,4.91351,0.439131,-1.414385,1.853516,0.7,0.71,
qmof-03dce70,4.8877,1.399077,-1.1785,2.577577,0.54,0.8,yes
qmof-a758683,4.50604,0.346445,-1.87418,2.220625,0.72,0.79,
qmof-ba63d77,4.93902,0.4202329999999999,-2.34649,2.766723,0.88,0.83,
qmof-4695aa0,6.09374,1.573998,-1.014436,2.588434,0.61,0.78,
qmof-537f47f,6.40733,0.423297,-2.358299,2.781596,0.57,0.87,
qmof-58a8f42,5.43127,0.282201,-2.426693,2.708894,0.89,0.8,yes
qmof-26670ca,8.81178,1.062847,-1.76394,2.826787,0.88,0.62,yes
qmof-05cc789,4.90003,1.107233,-0.6770879999999999,1.7843209999999998,0.57,0.75,yes
qmof-a5a3523,4.95336,1.214034,-0.569326,1.78336,0.52,0.75,yes
qmof-8333f8b,5.09371,1.0878,-1.115894,2.203694,0.64,0.78,yes
qmof-aa12b02,5.89856,0.785625,-1.080635,1.86626,0.99,0.92,yes
qmof-361324a,5.59073,0.1526889999999999,-2.732001,2.88469,0.61,0.8,
qmof-9b8979a,4.85986,0.254623,-1.96212,2.216743,0.84,0.83,
qmof-4581200,7.347,0.3387,-2.564016,2.9027160000000003,0.7,0.51,
qmof-ee8825a,7.34259,0.1309799999999999,-2.833711,2.964691,0.87,0.66,yes
qmof-b7fb8de,7.17263,0.1964989999999999,-2.254375,2.450874,0.84,0.88,yes
qmof-8f5113c,6.25853,0.477242,-2.323595,2.800837,0.84,0.89,yes
qmof-c1bc002,6.48013,0.2838119999999999,-1.905286,2.189098,0.62,0.61,
qmof-c924489,5.56554,0.349834,-2.036262,2.386096,0.55,0.75,
qmof-02d0b18,7.16889,0.1508089999999999,-2.571732,2.722541,0.61,0.79,
qmof-31585f8,6.25328,0.568241,-2.174076,2.742317,0.52,0.79,yes
qmof-a0717aa,5.28887,0.5180939999999999,-1.81282,2.330914,0.54,0.86,yes
qmof-5382407,6.76376,1.425455,-1.239074,2.664529,0.75,0.91,yes
qmof-d6024b8,7.15518,0.224016,-2.701158,2.925174,0.65,0.79,
qmof-4e43b18,5.22924,0.3724889999999999,-1.551298,1.923787,0.52,0.81,yes
qmof-2bf3de2,6.05364,1.228629,-1.402526,2.631155,0.95,0.95,yes
qmof-ef79893,5.72579,1.052698,-1.699508,2.752206,0.66,0.9,
qmof-b6953dc,4.53333,0.709767,-2.278003,2.9877700000000003,0.88,0.87,
qmof-2095c92,4.92418,0.724757,-2.188438,2.913195,0.71,0.9,
qmof-81886cf,5.9221,0.333209,-2.622593,2.9558020000000003,0.71,0.75,
qmof-14a36ed,4.52159,0.507764,-1.448761,1.956525,0.51,0.77,
qmof-e2af422,7.65379,0.308153,-1.481833,1.789986,0.62,0.9,yes
qmof-28498f0,6.78652,0.444121,-2.103777,2.547898,0.59,0.62,
