qmof_id,Material ID,CBM Comparison,VBM Comparison,type,core synthesized,mof synthesized,target
qmof-3b48e5d,mp-20015,higher,higher,2,yes,yes,yes
qmof-3b48e5d,mp-14367,higher,higher,2,yes,yes,yes
qmof-3b48e5d,mp-541114,lower,higher,2(low),yes,yes,yes
qmof-3b48e5d,mp-28299,higher,higher,2,yes,yes,yes
qmof-3b48e5d,mp-562338,higher,higher,2,yes,yes,yes
qmof-3b48e5d,mp-554944,higher,higher,2,yes,yes,yes
qmof-3b48e5d,mp-768936,lower,higher,2(low),,yes,
qmof-3b48e5d,mp-29193,higher,higher,2,yes,yes,yes
qmof-38471da,mp-20015,lower,higher,2(low),yes,,
qmof-38471da,mp-14367,lower,higher,2(low),yes,,
qmof-38471da,mp-541114,lower,higher,2(low),yes,,
qmof-38471da,mp-28299,lower,higher,2(low),yes,,
qmof-38471da,mp-562338,higher,higher,2,yes,,
qmof-38471da,mp-554944,lower,higher,2(low),yes,,
qmof-38471da,mp-768936,lower,higher,2(low),,,
qmof-38471da,mp-29193,lower,higher,2(low),yes,,
qmof-c3ad823,mp-20015,higher,higher,2,yes,,
qmof-c3ad823,mp-14367,higher,higher,2,yes,,
qmof-c3ad823,mp-541114,lower,higher,2(low),yes,,
qmof-c3ad823,mp-28299,higher,higher,2,yes,,
qmof-c3ad823,mp-562338,higher,higher,2,yes,,
qmof-c3ad823,mp-554944,higher,higher,2,yes,,
qmof-c3ad823,mp-768936,lower,higher,2(low),,,
qmof-c3ad823,mp-29193,lower,higher,2(low),yes,,
qmof-bd9ffd3,mp-20015,higher,higher,2,yes,,
qmof-bd9ffd3,mp-14367,higher,higher,2,yes,,
qmof-bd9ffd3,mp-541114,lower,lower,2(low),yes,,
qmof-bd9ffd3,mp-28299,higher,higher,2,yes,,
qmof-bd9ffd3,mp-562338,higher,higher,2,yes,,
qmof-bd9ffd3,mp-554944,higher,higher,2,yes,,
qmof-bd9ffd3,mp-768936,higher,higher,2,,,
qmof-bd9ffd3,mp-29193,higher,higher,2,yes,,
qmof-c3298fb,mp-20015,lower,higher,2(low),yes,,
qmof-c3298fb,mp-14367,lower,lower,2(low),yes,,
qmof-c3298fb,mp-541114,lower,lower,2(low),yes,,
qmof-c3298fb,mp-28299,lower,higher,2(low),yes,,
qmof-c3298fb,mp-562338,higher,lower,1,yes,,
qmof-c3298fb,mp-554944,lower,higher,2(low),yes,,
qmof-c3298fb,mp-768936,lower,lower,2(low),,,
qmof-c3298fb,mp-29193,lower,higher,2(low),yes,,
qmof-3a9ad54,mp-20015,higher,higher,2,yes,,
qmof-3a9ad54,mp-14367,higher,higher,2,yes,,
qmof-3a9ad54,mp-541114,lower,higher,2(low),yes,,
qmof-3a9ad54,mp-28299,higher,higher,2,yes,,
qmof-3a9ad54,mp-562338,higher,higher,2,yes,,
qmof-3a9ad54,mp-554944,higher,higher,2,yes,,
qmof-3a9ad54,mp-768936,lower,higher,2(low),,,
qmof-3a9ad54,mp-29193,higher,higher,2,yes,,
qmof-60626cd,mp-20015,higher,higher,2,yes,yes,yes
qmof-60626cd,mp-14367,higher,higher,2,yes,yes,yes
qmof-60626cd,mp-541114,lower,higher,2(low),yes,yes,yes
qmof-60626cd,mp-28299,higher,higher,2,yes,yes,yes
qmof-60626cd,mp-562338,higher,higher,2,yes,yes,yes
qmof-60626cd,mp-554944,higher,higher,2,yes,yes,yes
qmof-60626cd,mp-768936,higher,higher,2,,yes,
qmof-60626cd,mp-29193,higher,higher,2,yes,yes,yes
qmof-fa2b07a,mp-20015,lower,higher,2(low),yes,,
qmof-fa2b07a,mp-14367,lower,higher,2(low),yes,,
qmof-fa2b07a,mp-541114,lower,higher,2(low),yes,,
qmof-fa2b07a,mp-28299,lower,higher,2(low),yes,,
qmof-fa2b07a,mp-562338,higher,higher,2,yes,,
qmof-fa2b07a,mp-554944,lower,higher,2(low),yes,,
qmof-fa2b07a,mp-768936,lower,higher,2(low),,,
qmof-fa2b07a,mp-29193,lower,higher,2(low),yes,,
qmof-8325046,mp-20015,lower,higher,2(low),yes,,
qmof-8325046,mp-14367,lower,higher,2(low),yes,,
qmof-8325046,mp-541114,lower,higher,2(low),yes,,
qmof-8325046,mp-28299,lower,higher,2(low),yes,,
qmof-8325046,mp-562338,higher,higher,2,yes,,
qmof-8325046,mp-554944,lower,higher,2(low),yes,,
qmof-8325046,mp-768936,lower,higher,2(low),,,
qmof-8325046,mp-29193,lower,higher,2(low),yes,,
qmof-10b2259,mp-20015,lower,higher,2(low),yes,,
qmof-10b2259,mp-14367,higher,higher,2,yes,,
qmof-10b2259,mp-541114,lower,lower,2(low),yes,,
qmof-10b2259,mp-28299,lower,higher,2(low),yes,,
qmof-10b2259,mp-562338,higher,higher,2,yes,,
qmof-10b2259,mp-554944,lower,higher,2(low),yes,,
qmof-10b2259,mp-768936,lower,higher,2(low),,,
qmof-10b2259,mp-29193,lower,higher,2(low),yes,,
qmof-912bab6,mp-20015,higher,higher,2,yes,,
qmof-912bab6,mp-14367,higher,higher,2,yes,,
qmof-912bab6,mp-541114,lower,higher,2(low),yes,,
qmof-912bab6,mp-28299,higher,higher,2,yes,,
qmof-912bab6,mp-562338,higher,higher,2,yes,,
