qmof_id,Material ID,CBM Comparison,VBM Comparison,type,core synthesized,mof synthesized,target
qmof-2c7948e,mp-3414,lower,higher,2(low),yes,yes,yes
qmof-2c7948e,mp-542001,lower,higher,2(low),yes,yes,yes
qmof-2c7948e,mp-28845,lower,higher,2(low),yes,yes,yes
qmof-2c7948e,mp-561423,lower,higher,2(low),yes,yes,yes
qmof-2c7948e,mp-14276,lower,higher,2(low),yes,yes,yes
qmof-2c7948e,mp-29590,lower,higher,2(low),yes,yes,yes
qmof-2c7948e,mp-556442,lower,higher,2(low),yes,yes,yes
qmof-2c7948e,mp-27980,lower,higher,2(low),yes,yes,yes
qmof-6032da7,mp-3414,higher,lower,1,yes,yes,yes
qmof-6032da7,mp-542001,higher,higher,2,yes,yes,yes
qmof-6032da7,mp-28845,higher,lower,1,yes,yes,yes
qmof-6032da7,mp-561423,higher,higher,2,yes,yes,yes
qmof-6032da7,mp-14276,higher,lower,1,yes,yes,yes
qmof-6032da7,mp-29590,higher,higher,2,yes,yes,yes
qmof-6032da7,mp-556442,higher,higher,2,yes,yes,yes
qmof-6032da7,mp-27980,higher,higher,2,yes,yes,yes
qmof-2297abb,mp-3414,higher,higher,2,yes,,
qmof-2297abb,mp-542001,higher,higher,2,yes,,
qmof-2297abb,mp-28845,higher,higher,2,yes,,
qmof-2297abb,mp-561423,higher,higher,2,yes,,
qmof-2297abb,mp-14276,higher,higher,2,yes,,
qmof-2297abb,mp-29590,higher,higher,2,yes,,
qmof-2297abb,mp-556442,higher,higher,2,yes,,
qmof-2297abb,mp-27980,higher,higher,2,yes,,
qmof-167482e,mp-3414,higher,higher,2,yes,,
qmof-167482e,mp-542001,higher,higher,2,yes,,
qmof-167482e,mp-28845,higher,higher,2,yes,,
qmof-167482e,mp-561423,higher,higher,2,yes,,
qmof-167482e,mp-14276,higher,higher,2,yes,,
qmof-167482e,mp-29590,higher,higher,2,yes,,
qmof-167482e,mp-556442,higher,higher,2,yes,,
qmof-167482e,mp-27980,higher,higher,2,yes,,
qmof-def2fe1,mp-3414,lower,higher,2(low),yes,,
qmof-def2fe1,mp-542001,lower,higher,2(low),yes,,
qmof-def2fe1,mp-28845,lower,higher,2(low),yes,,
qmof-def2fe1,mp-561423,higher,higher,2,yes,,
qmof-def2fe1,mp-14276,lower,higher,2(low),yes,,
qmof-def2fe1,mp-29590,lower,higher,2(low),yes,,
qmof-def2fe1,mp-556442,lower,higher,2(low),yes,,
qmof-def2fe1,mp-27980,lower,higher,2(low),yes,,
qmof-a40de84,mp-3414,higher,higher,2,yes,yes,yes
qmof-a40de84,mp-542001,higher,higher,2,yes,yes,yes
qmof-a40de84,mp-28845,higher,higher,2,yes,yes,yes
qmof-a40de84,mp-561423,higher,higher,2,yes,yes,yes
qmof-a40de84,mp-14276,higher,higher,2,yes,yes,yes
qmof-a40de84,mp-29590,higher,higher,2,yes,yes,yes
qmof-a40de84,mp-556442,higher,higher,2,yes,yes,yes
qmof-a40de84,mp-27980,higher,higher,2,yes,yes,yes
qmof-b050ede,mp-3414,lower,higher,2(low),yes,,
qmof-b050ede,mp-542001,lower,higher,2(low),yes,,
qmof-b050ede,mp-28845,lower,higher,2(low),yes,,
qmof-b050ede,mp-561423,higher,higher,2,yes,,
qmof-b050ede,mp-14276,lower,higher,2(low),yes,,
qmof-b050ede,mp-29590,lower,higher,2(low),yes,,
qmof-b050ede,mp-556442,higher,higher,2,yes,,
qmof-b050ede,mp-27980,higher,higher,2,yes,,
qmof-44d0651,mp-3414,higher,higher,2,yes,,
qmof-44d0651,mp-542001,lower,higher,2(low),yes,,
