qmof_id,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.bandgap
qmof-3b48e5d,0.0968769999999999,-2.685566,2.782443
qmof-38471da,0.01289,-2.145052,2.157942
qmof-c3ad823,0.055645,-2.660394,2.716039
qmof-bd9ffd3,0.102605,-2.710411,2.813016
qmof-c3298fb,0.0118769999999999,-2.908571,2.920448
qmof-3a9ad54,0.0790259999999999,-2.027249,2.106275
qmof-60626cd,0.10973,-2.208585,2.318315
qmof-fa2b07a,0.0141379999999999,-2.63665,2.650788
qmof-8325046,0.0093579999999999,-1.95227,1.961628
qmof-10b2259,0.021343,-2.747542,2.768885
qmof-912bab6,0.1149819999999999,-2.508359,2.6233410000000004
qmof-f62972b,0.1082889999999999,-2.540263,2.648552
qmof-0bbe221,0.0253459999999999,-2.677845,2.7031910000000003
qmof-beb185c,0.0300659999999999,-2.372555,2.402621
qmof-d192e8d,0.0575669999999999,-1.799417,1.856984
qmof-077f6af,0.041804,-2.331643,2.373447
