qmof_id,outputs.pbe.cbm,outputs.pbe.vbm,outputs.pbe.bandgap
qmof-2c7948e,0.163323,-1.642267,1.80559
qmof-6032da7,0.515355,-2.470124,2.985479
qmof-2297abb,0.653867,-1.733846,2.387713
qmof-167482e,0.646978,-1.214049,1.861027
qmof-def2fe1,0.1799329999999999,-2.228262,2.408195
qmof-a40de84,0.624905,-2.101935,2.72684
qmof-b050ede,0.232571,-2.128241,2.360812
qmof-44d0651,0.346407,-1.882958,2.229365
qmof-95ce74c,0.310313,-2.662702,2.973015
qmof-99d7983,0.608772,-2.090216,2.698988
qmof-417c826,1.244507,-1.456734,2.701241
qmof-3eec122,0.790859,-1.038767,1.829626
qmof-b1e5ed5,1.184561,-1.577732,2.762293
qmof-bec91df,0.246199,-2.548425,2.794624
qmof-cca3b22,0.334569,-2.054286,2.388855
qmof-096bf27,0.8648290000000001,-1.501454,2.366283
qmof-97f5f79,1.406656,-1.02608,2.432736
qmof-e2185c7,0.342997,-1.752985,2.095982
qmof-aa8159f,1.075076,-0.728795,1.803871
qmof-f0c1c90,0.1508399999999999,-2.745207,2.8960470000000003
qmof-55ae928,1.10752,-0.67656,1.78408
qmof-b078db5,0.439131,-1.414385,1.853516
qmof-03dce70,1.399077,-1.1785,2.577577
qmof-a758683,0.346445,-1.87418,2.220625
qmof-ba63d77,0.4202329999999999,-2.34649,2.766723
qmof-4695aa0,1.573998,-1.014436,2.588434
qmof-537f47f,0.423297,-2.358299,2.781596
qmof-58a8f42,0.282201,-2.426693,2.708894
qmof-26670ca,1.062847,-1.76394,2.826787
qmof-05cc789,1.107233,-0.6770879999999999,1.7843209999999998
qmof-a5a3523,1.214034,-0.569326,1.78336
qmof-8333f8b,1.0878,-1.115894,2.203694
qmof-aa12b02,0.785625,-1.080635,1.86626
qmof-361324a,0.1526889999999999,-2.732001,2.88469
qmof-9b8979a,0.254623,-1.96212,2.216743
qmof-4581200,0.3387,-2.564016,2.9027160000000003
qmof-ee8825a,0.1309799999999999,-2.833711,2.964691
qmof-b7fb8de,0.1964989999999999,-2.254375,2.450874
qmof-8f5113c,0.477242,-2.323595,2.800837
qmof-c1bc002,0.2838119999999999,-1.905286,2.189098
qmof-c924489,0.349834,-2.036262,2.386096
qmof-02d0b18,0.1508089999999999,-2.571732,2.722541
qmof-31585f8,0.568241,-2.174076,2.742317
qmof-a0717aa,0.5180939999999999,-1.81282,2.330914
qmof-5382407,1.425455,-1.239074,2.664529
qmof-d6024b8,0.224016,-2.701158,2.925174
qmof-4e43b18,0.3724889999999999,-1.551298,1.923787
qmof-2bf3de2,1.228629,-1.402526,2.631155
qmof-ef79893,1.052698,-1.699508,2.752206
qmof-b6953dc,0.709767,-2.278003,2.9877700000000003
