qmof_id,Material ID,CBM Comparison,VBM Comparison,type,core synthesized,mof synthesized,target
qmof-4aba306,mp-680722,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-31107,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-1095378,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-23569,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-30003,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-1190864,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-23084,higher,higher,2,yes,yes,yes
qmof-4aba306,mp-15511,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-7128,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-28855,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-561561,higher,higher,2,yes,yes,yes
qmof-4aba306,mp-1079364,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-542115,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-31232,higher,higher,2,yes,yes,yes
qmof-4aba306,mp-1091363,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-558910,higher,higher,2,yes,yes,yes
qmof-4aba306,mp-14037,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-29698,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-1095283,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-20805,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-16834,higher,higher,2,yes,yes,yes
qmof-4aba306,mp-556120,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-20727,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-14368,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-1819,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-22467,higher,higher,2,yes,yes,yes
qmof-4aba306,mp-15750,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-554435,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-1105700,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-680219,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-17637,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-23446,higher,higher,2,yes,yes,yes
qmof-4aba306,mp-17677,lower,higher,2(low),yes,yes,yes
qmof-4aba306,mp-230,higher,lower,1,yes,yes,yes
qmof-4aba306,mp-31069,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-624234,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-10798,lower,lower,2(low),yes,yes,yes
qmof-4aba306,mp-7094,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-680722,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-31107,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-1095378,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-23569,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-30003,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-1190864,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-23084,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-15511,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-7128,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-28855,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-561561,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-1079364,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-542115,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-31232,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-1091363,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-558910,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-14037,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-29698,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-1095283,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-20805,higher,lower,1,yes,yes,yes
qmof-5108c60,mp-16834,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-556120,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-20727,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-14368,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-1819,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-22467,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-15750,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-554435,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-1105700,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-680219,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-17637,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-23446,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-17677,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-230,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-31069,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-624234,lower,higher,2(low),yes,yes,yes
qmof-5108c60,mp-10798,higher,higher,2,yes,yes,yes
qmof-5108c60,mp-7094,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-680722,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-31107,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-1095378,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-23569,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-30003,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-1190864,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-23084,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-15511,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-7128,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-28855,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-561561,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-1079364,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-542115,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-31232,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-1091363,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-558910,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-14037,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-29698,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-1095283,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-20805,higher,lower,1,yes,yes,yes
qmof-2531f43,mp-16834,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-556120,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-20727,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-14368,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-1819,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-22467,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-15750,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-554435,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-1105700,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-680219,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-17637,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-23446,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-17677,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-230,higher,higher,2,yes,yes,yes
qmof-2531f43,mp-31069,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-624234,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-10798,lower,higher,2(low),yes,yes,yes
qmof-2531f43,mp-7094,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-680722,higher,higher,2,yes,yes,yes
qmof-91b0193,mp-31107,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-1095378,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-23569,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-30003,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-1190864,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-23084,higher,higher,2,yes,yes,yes
qmof-91b0193,mp-15511,higher,higher,2,yes,yes,yes
qmof-91b0193,mp-7128,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-28855,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-561561,higher,higher,2,yes,yes,yes
qmof-91b0193,mp-1079364,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-542115,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-31232,higher,higher,2,yes,yes,yes
qmof-91b0193,mp-1091363,higher,higher,2,yes,yes,yes
qmof-91b0193,mp-558910,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-14037,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-29698,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-1095283,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-20805,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-16834,higher,higher,2,yes,yes,yes
qmof-91b0193,mp-556120,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-20727,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-14368,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-1819,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-22467,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-15750,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-554435,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-1105700,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-680219,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-17637,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-23446,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-17677,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-230,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-31069,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-624234,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-10798,lower,higher,2(low),yes,yes,yes
qmof-91b0193,mp-7094,lower,higher,2(low),yes,yes,yes
qmof-c2f7da3,mp-680722,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-31107,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-1095378,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-23569,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-30003,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-1190864,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-23084,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-15511,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-7128,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-28855,lower,higher,2(low),yes,yes,yes
qmof-c2f7da3,mp-561561,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-1079364,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-542115,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-31232,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-1091363,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-558910,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-14037,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-29698,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-1095283,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-20805,higher,lower,1,yes,yes,yes
qmof-c2f7da3,mp-16834,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-556120,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-20727,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-14368,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-1819,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-22467,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-15750,lower,higher,2(low),yes,yes,yes
qmof-c2f7da3,mp-554435,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-1105700,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-680219,lower,higher,2(low),yes,yes,yes
qmof-c2f7da3,mp-17637,lower,higher,2(low),yes,yes,yes
qmof-c2f7da3,mp-23446,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-17677,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-230,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-31069,higher,higher,2,yes,yes,yes
qmof-c2f7da3,mp-624234,higher,higher,2,yes,yes,yes
