qmof_id,Material ID,,qmof_id,Material ID,,qmof_id,Material ID
qmof-2c7948e,mp-3414,,qmof-47c6a17,mp-28845,,qmof-68e1336,mp-556442
qmof-2c7948e,mp-542001,,qmof-47c6a17,mp-561423,,qmof-68e1336,mp-27980
qmof-2c7948e,mp-28845,,qmof-47c6a17,mp-14276,,qmof-17e43c6,mp-3414
qmof-2c7948e,mp-561423,,qmof-47c6a17,mp-29590,,qmof-17e43c6,mp-542001
qmof-2c7948e,mp-14276,,qmof-47c6a17,mp-556442,,qmof-17e43c6,mp-28845
qmof-2c7948e,mp-29590,,qmof-47c6a17,mp-27980,,qmof-17e43c6,mp-561423
qmof-2c7948e,mp-556442,,qmof-f124941,mp-3414,,qmof-17e43c6,mp-14276
qmof-2c7948e,mp-27980,,qmof-f124941,mp-542001,,qmof-17e43c6,mp-29590
qmof-6032da7,mp-3414,,qmof-f124941,mp-28845,,qmof-17e43c6,mp-556442
qmof-6032da7,mp-542001,,qmof-f124941,mp-561423,,qmof-17e43c6,mp-27980
qmof-6032da7,mp-28845,,qmof-f124941,mp-14276,,qmof-ba7bac6,mp-3414
qmof-6032da7,mp-561423,,qmof-f124941,mp-29590,,qmof-ba7bac6,mp-542001
qmof-6032da7,mp-14276,,qmof-f124941,mp-556442,,qmof-ba7bac6,mp-28845
qmof-6032da7,mp-29590,,qmof-f124941,mp-27980,,qmof-ba7bac6,mp-561423
qmof-6032da7,mp-556442,,qmof-1f7477f,mp-3414,,qmof-ba7bac6,mp-14276
qmof-6032da7,mp-27980,,qmof-1f7477f,mp-542001,,qmof-ba7bac6,mp-29590
qmof-a40de84,mp-3414,,qmof-1f7477f,mp-28845,,qmof-ba7bac6,mp-556442
qmof-a40de84,mp-542001,,qmof-1f7477f,mp-561423,,qmof-ba7bac6,mp-27980
qmof-a40de84,mp-28845,,qmof-1f7477f,mp-14276,,qmof-7c0089b,mp-3414
qmof-a40de84,mp-561423,,qmof-1f7477f,mp-29590,,qmof-7c0089b,mp-542001
qmof-a40de84,mp-14276,,qmof-1f7477f,mp-556442,,qmof-7c0089b,mp-28845
qmof-a40de84,mp-29590,,qmof-1f7477f,mp-27980,,qmof-7c0089b,mp-561423
qmof-a40de84,mp-556442,,qmof-f203c62,mp-3414,,qmof-7c0089b,mp-14276
qmof-a40de84,mp-27980,,qmof-f203c62,mp-542001,,qmof-7c0089b,mp-29590
qmof-95ce74c,mp-3414,,qmof-f203c62,mp-28845,,qmof-7c0089b,mp-556442
qmof-95ce74c,mp-542001,,qmof-f203c62,mp-561423,,qmof-7c0089b,mp-27980
qmof-95ce74c,mp-28845,,qmof-f203c62,mp-14276,,qmof-0180057,mp-3414
qmof-95ce74c,mp-561423,,qmof-f203c62,mp-29590,,qmof-0180057,mp-542001
qmof-95ce74c,mp-14276,,qmof-f203c62,mp-556442,,qmof-0180057,mp-28845
qmof-95ce74c,mp-29590,,qmof-f203c62,mp-27980,,qmof-0180057,mp-561423
qmof-95ce74c,mp-556442,,qmof-0f178f1,mp-3414,,qmof-0180057,mp-14276
qmof-95ce74c,mp-27980,,qmof-0f178f1,mp-542001,,qmof-0180057,mp-29590
qmof-99d7983,mp-3414,,qmof-0f178f1,mp-28845,,qmof-0180057,mp-556442
qmof-99d7983,mp-542001,,qmof-0f178f1,mp-561423,,qmof-0180057,mp-27980
qmof-99d7983,mp-28845,,qmof-0f178f1,mp-14276,,qmof-bec2181,mp-3414
qmof-99d7983,mp-561423,,qmof-0f178f1,mp-29590,,qmof-bec2181,mp-542001
qmof-99d7983,mp-14276,,qmof-0f178f1,mp-556442,,qmof-bec2181,mp-28845
qmof-99d7983,mp-29590,,qmof-0f178f1,mp-27980,,qmof-bec2181,mp-561423
qmof-99d7983,mp-556442,,qmof-c1553ca,mp-3414,,qmof-bec2181,mp-14276
qmof-99d7983,mp-27980,,qmof-c1553ca,mp-542001,,qmof-bec2181,mp-29590
qmof-417c826,mp-3414,,qmof-c1553ca,mp-28845,,qmof-bec2181,mp-556442
qmof-417c826,mp-542001,,qmof-c1553ca,mp-561423,,qmof-bec2181,mp-27980
qmof-417c826,mp-28845,,qmof-c1553ca,mp-14276,,qmof-8ec55e0,mp-3414
qmof-417c826,mp-561423,,qmof-c1553ca,mp-29590,,qmof-8ec55e0,mp-542001
qmof-417c826,mp-14276,,qmof-c1553ca,mp-556442,,qmof-8ec55e0,mp-28845
qmof-417c826,mp-29590,,qmof-c1553ca,mp-27980,,qmof-8ec55e0,mp-561423
qmof-417c826,mp-556442,,qmof-e2ef939,mp-3414,,qmof-8ec55e0,mp-14276
