MPID,BandGap,CBM,VBM,Product
mp-1224154,2.968547336,-0.1157263320000003,-3.084273668,CH4
mp-29359,2.989312128,-0.0843439359999997,-3.073656064,CH4
mp-1223088,2.154180544,-0.1654097280000002,-2.319590272,CH4
mp-10559,2.736784208,-0.0932745626666662,-2.8300587706666667,CH4
mp-1214066,2.721721897,-0.150717998868421,-2.872439895868421,CH4
mp-1025252,2.937739192,-0.0282732611428571,-2.9660124531428576,CH4
mp-1194963,2.872213542,-0.1238932290000001,-2.996106771,CH4
mp-28145,2.751901297,-0.0257160181666673,-2.7776173151666668,CH4
mp-546672,2.119563928,-0.0430751788571424,-2.1626391068571427,CH4
mp-1214730,2.996675553,-0.0006622235,-2.9973377765,CH4
mp-1210192,1.924142017,-0.1419289915000003,-2.0660710085000003,CH4
mp-571648,2.628211422,-0.0158942890000002,-2.644105711,CH4
mp-1219278,2.3542907,-0.1428546500000003,-2.4971453500000003,CH4
mp-1104024,2.569874003,-0.1150629985000009,-2.6849370015000003,CH4
mp-13676,2.435112786,-0.0257769403333334,-2.460889726333333,CH4
mp-1018891,2.320097342,-0.1409190709354844,-2.461016412935484,CH4
mp-1226577,2.860324169,-0.0531712488333333,-2.913495417833333,CH4
mp-3879,2.853686383,-0.1498234751666665,-3.003509858166667,CH4
mp-505436,2.199373828,-0.1003130859999998,-2.2996869140000005,CH4
mp-1210257,1.853205875,-0.0576827767857146,-1.9108886517857144,CH4
mp-557993,1.98185465,-0.1162155321428572,-2.098070182142857,CH4
mp-541696,2.973796383,-0.0636573640555555,-3.037453747055556,CH4
mp-984519,1.997678361,-0.1086608194999998,-2.1063391805,CH4
mp-856,2.690749972,-0.0365480909230768,-2.727298062923077,CH4
mp-1209628,2.1737378,-0.1218811000000004,-2.2956189,CH4
mp-557871,2.99851835,-0.0927408249999999,-3.091259175,CH4
