MPID,BandGap,CBM,VBM,Product
mp-9576,2.3959701,0.3621229810344823,-2.033847118965517,CO
mp-1205478,2.6957646,0.4628823000000004,-2.2328823,CO
mp-1095291,2.348963817,0.4116247656428573,-1.9373390513571431,CO
mp-29420,2.1742813,0.2557120785714284,-1.918569221428572,CO
mp-20310,2.473476453,0.2494048931666661,-2.2240715598333334,CO
mp-675710,2.903596103,0.4748749745769229,-2.428721128423077,CO
mp-1181839,2.464650678,0.1508967675714281,-2.313753910428572,CO
mp-1213022,2.599908108,0.1249540539999998,-2.4749540540000003,CO
mp-30996,2.430948019,0.1554740094999998,-2.2754740095,CO
mp-15222,2.459756294,0.3418781469999992,-2.1178781470000003,CO
mp-1227444,2.705123711,0.4398345827727272,-2.2652891282272725,CO
mp-1224517,2.578171369,0.4080142559285713,-2.1701571130714283,CO
mp-626218,2.816037575,0.2137330732142857,-2.6023045017857145,CO
mp-27175,2.675597936,0.1627989679999997,-2.512798968,CO
mp-1821,2.246436089,0.2585121621470589,-1.9879239268529412,CO
mp-1025549,2.410415519,0.1727077594999997,-2.2377077595,CO
mp-27852,2.851888461,0.178027563833333,-2.673860897166666,CO
mp-505700,2.354447119,0.1350013372777772,-2.2194457817222224,CO
mp-559257,2.762063178,0.1476982556666666,-2.614364922333333,CO
