material_id,predict_Band_gap_HSE
mp-1008492,2.979507183
mp-1025377,2.870952647
mp-1036765,1.965062281
mp-1096051,2.127706789
mp-1104511,1.923204931
mp-11114,1.791958069
mp-1147526,1.773062356
mp-1174208,1.856761889
mp-1175065,1.756944008
mp-1177917,2.200435375
mp-1192415,2.345386592
mp-1194369,1.898847592
mp-1194474,2.455136394
mp-1196390,2.477724233
mp-1201758,2.005463864
mp-1203699,2.833026
mp-1209673,2.294922831
mp-1211440,2.553409197
mp-1212215,2.293159406
mp-1212632,2.460250472
mp-1215688,2.450387464
mp-1216336,1.860403753
mp-1216363,1.782059794
mp-1217888,2.674218183
mp-1228012,2.034488092
mp-1228537,1.886107167
mp-1228636,2.945120978
mp-1229260,2.039557378
mp-1245325,2.107221303
mp-1253395,2.259003239
mp-1275358,2.258766539
mp-1302128,1.853137394
mp-1318211,2.183153375
mp-1320401,2.165800681
mp-14206,1.961423175
mp-1640189,2.443306931
mp-1648369,2.844155439
mp-19517,2.687346181
mp-2079,1.721138325
mp-28192,2.894773669
mp-28501,2.253072219
mp-28518,2.595013031
mp-28626,2.611267086
mp-28698,1.960829725
mp-532267,2.686793042
mp-541014,2.235704383
mp-541735,2.075190514
mp-546350,2.602761486
mp-555012,2.084977239
mp-562809,2.221428714
mp-574620,2.975704853
mp-600172,2.172352922
mp-602,1.808474119
mp-6088,2.460748364
mp-617,2.958104853
mp-653579,2.483570861
mp-677509,1.958588531
mp-698609,1.936351592
mp-755366,2.0092562
mp-755488,1.841813208
mp-755669,2.697381747
mp-762694,2.664569572
mp-763729,1.971298122
mp-764736,2.569175236
mp-766856,2.540872525
mp-771431,1.754735231
mp-774223,1.849181997
mp-8231,2.139762353
mp-849737,2.065656981
mp-867808,2.1076121
mp-9069,1.936658378
mp-996968,2.971676489
mvc-10383,2.305876597
mvc-3085,2.069843178
mvc-4002,2.127096919
mvc-6345,2.237258236
mvc-9967,2.214684689
mvc-9983,2.202246697
mp-1013898,2.505867314
mp-1018049,2.573151242
mp-1025567,2.141346797
mp-1029730,2.118767333
mp-1036461,1.958186639
mp-1101229,1.776636279
mp-1104323,2.374708092
mp-1111048,2.403666281
mp-1111561,2.784589747
mp-1111637,2.49968205
mp-1113315,2.979313439
mp-1175296,2.148081536
mp-1178119,2.439726806
mp-1190579,1.854640644
mp-1192367,2.245336761
mp-1196773,2.153746842
mp-1205664,2.161741267
mp-1211809,1.872463822
mp-1214160,1.829485214
mp-1216431,1.9316746
mp-1223442,2.197690431
mp-1223843,1.794633136
mp-1246846,2.311843622
mp-1257987,2.353460825
mp-1295096,1.786190833
mp-1296423,1.852473711
mp-1301120,1.7660582
mp-1639121,1.963484314
mp-1640674,2.093615203
mp-16435,1.990902819
mp-1666401,2.410662772
mp-2172,2.468452208
mp-27979,2.9065801
mp-554334,2.881606158
mp-558188,1.722287961
mp-567428,1.922880481
mp-567556,1.814330528
mp-570037,1.823913867
mp-570593,1.890014408
mp-571134,2.261245056
mp-673798,2.177712192
mp-684638,2.587453544
mp-684680,2.312716764
mp-720876,2.254536617
mp-752997,2.186016444
mp-753171,2.723753422
mp-753453,2.460143825
mp-753664,2.544171142
mp-753870,2.727088172
mp-754312,2.381021689
mp-754325,2.509573022
mp-754433,2.217731553
mp-754785,1.811257672
mp-757100,1.827202672
mp-758843,1.796505946
mp-758901,2.212069531
mp-760100,2.620084861
mp-761021,1.791890908
mp-761204,2.311581586
mp-764816,1.842299139
mp-768866,1.851821086
mp-770660,2.601782386
mp-772025,2.045146597
mp-773511,1.959439889
mp-775319,1.822242364
mp-777461,2.457935772
mp-778108,1.701154172
mp-778157,2.040386692
mp-778824,2.745896756
mp-849358,2.188216572
mp-996984,2.184679586
mvc-452,1.827141983
mvc-5581,1.941231769
mvc-6611,2.233242417
mvc-9015,2.077698369
mp-1037462,1.897414367
mp-10378,1.750754794
mp-1038423,2.003951297
mp-1038485,2.237740661
mp-1038750,2.319367614
mp-1079196,2.248625978
mp-1094028,2.476961528
mp-1147736,1.705583752
mp-1174425,2.294790161
mp-1176116,1.75895027
mp-1176646,1.751503392
mp-1190785,2.366509769
mp-1191322,2.212543689
mp-1193675,2.319813772
mp-1194332,2.057364675
mp-1197810,2.810045111
mp-1210261,2.73770175
mp-1211748,2.788220728
mp-1215862,1.947515778
mp-1217720,2.360362961
mp-1220847,2.145741126
mp-1228340,2.205196236
mp-1239458,1.977022108
mp-1247375,1.800895908
mp-1247410,2.540180244
mp-1252961,2.266579544
mp-2229,2.412616406
mp-29468,2.762732678
mp-40573,1.722300819
mp-504264,1.998827917
mp-510459,2.073844656
mp-541403,2.191340122
mp-553960,1.993783281
mp-555748,1.813104389
mp-560515,1.986340867
mp-567391,1.882633203
mp-5929,2.045458192
mp-619545,1.717669717
mp-645592,2.452016358
mp-648363,1.729995731
mp-672,2.045158181
mp-672352,2.741757125
mp-675918,2.030907681
mp-677217,1.898801033
mp-705895,2.817161314
mp-744482,2.851417461
mp-753097,2.413120114
mp-753395,2.412170764
mp-753991,1.968077083
mp-755172,1.797974197
mp-759923,1.795678208
mp-760973,2.082939342
mp-761244,2.793350644
mp-761245,2.139703153
mp-763427,2.716401303
mp-766127,2.873915842
mp-770765,2.816321347
mp-773453,2.312840467
mp-775866,2.728353567
mp-776315,2.653862308
mp-776412,2.730029386
mp-777048,2.373460911
mp-777269,2.880849272
mp-777829,2.908337497
mp-779350,2.728477517
mp-780893,2.111766714
mp-781503,1.715927378
mp-781824,2.069104072
mp-866468,2.750513739
mp-981379,2.597057647
mp-996982,2.246323633
mvc-10205,2.263969722
mvc-10231,1.972588847
mvc-679,2.706474425
mvc-8866,2.8255409
mp-1029368,2.873608206
mp-1100536,2.148569678
mp-1105368,2.456867628
mp-1111121,2.486018517
mp-1112053,1.781488214
mp-1176058,1.949743925
mp-1180943,1.816370806
mp-1182139,2.724257936
mp-1193473,2.302577481
mp-1197873,1.989978628
mp-1203016,1.978230533
mp-12046,2.434135036
mp-1205840,2.490685372
mp-1212667,1.992396719
mp-1213518,2.731318458
mp-1213805,1.930235894
mp-1214763,2.539904394
mp-1215842,2.567545147
mp-1220291,2.224315619
mp-1225986,2.055561894
mp-1225993,2.035580522
mp-1228283,1.928366239
mp-13287,2.057019514
mp-14406,2.175240472
mp-1639368,1.792150308
mp-17700,1.7604099
mp-23412,2.623117789
mp-23514,2.662668056
mp-27775,2.470120197
mp-3762,2.075480031
mp-3772,2.208995261
mp-510226,2.417248689
mp-542662,2.325546556
mp-559520,2.745744364
mp-560947,1.724265283
mp-568043,2.977843931
mp-569889,2.6351152
mp-625502,2.546826683
mp-650858,2.470097608
mp-676410,1.746776286
mp-720808,2.824491036
mp-7462,2.688921506
mp-753238,1.8933181
mp-753542,1.933772044
mp-755014,1.772923461
mp-757329,2.627513728
mp-758634,2.169185717
mp-759145,2.768247933
mp-760240,2.259646342
mp-768862,2.622123689
mp-769604,2.411180567
mp-770848,2.389970603
mp-770876,2.146125533
mp-771706,1.993826369
mp-779315,1.836934411
mp-7844,1.992540472
mp-849328,2.944860994
mp-850866,2.776654194
mp-866883,2.237556361
mp-9573,1.998425322
mp-962066,2.688371361
mp-996995,2.202844725
mvc-2247,2.6231202
mvc-6520,2.294449125
mvc-7611,1.82566385
mvc-9499,2.270916397
mp-1001611,1.958906306
mp-1097360,1.771632386
mp-1101510,2.044019878
mp-1112410,2.925730189
mp-1172918,2.711612756
mp-1175226,1.992926858
mp-1179913,1.816367772
mp-1195547,2.587936892
mp-1197317,1.933134036
mp-1197319,1.924846533
mp-1198019,2.311546947
mp-1198817,1.897700347
mp-1202119,1.727293744
mp-1210877,2.045992586
mp-1211817,2.381404797
mp-1218763,2.183855231
mp-1222352,2.45792165
mp-1223614,2.82050595
mp-1225936,1.837609828
mp-1225949,1.814997483
mp-1246066,2.025888231
mp-1246787,1.890001622
mp-1246835,2.471879617
mp-1297798,2.181901331
mp-1305934,1.920866522
mp-13868,2.955179025
mp-1643785,1.941566944
mp-1666882,2.13618895
mp-17660,2.240147702
mp-21094,2.218309586
mp-22894,2.428195169
mp-24814,2.616134
mp-27362,2.553837092
mp-27503,2.978143856
mp-27709,2.209420967
mp-28095,2.810648753
mp-28399,2.987177297
mp-28421,2.995895256
mp-30102,2.771263108
mp-3038,2.271666732
mp-505798,2.534451561
mp-531358,2.685029389
mp-541013,1.845138803
mp-542140,1.778287536
mp-555309,2.334656667
mp-556429,2.9394464
mp-690687,2.775324431
mp-752761,2.798239075
mp-752962,2.301170672
mp-754298,1.789874875
mp-755979,2.597433617
mp-756830,2.434096603
mp-759327,1.808217275
mp-759528,2.892932442
mp-760151,2.263998489
mp-762265,2.197897106
mp-768430,2.277204028
mp-768918,2.847136842
mp-773206,2.329278392
mp-774925,1.757864331
mp-775822,2.662733625
mp-8278,1.823095403
mp-851247,2.176136375
mvc-1200,1.909264672
mvc-8472,1.781092653
mvc-9218,1.732546978
mp-1017567,1.866093197
mp-1025922,2.124508664
mp-1029262,2.306803747
mp-1037251,2.224597475
mp-1037255,1.885646019
mp-1039667,1.985236053
mp-1076090,1.972691489
mp-1078908,2.037860072
mp-1080635,1.723762833
mp-1097285,2.89674175
mp-1101431,1.726214644
mp-1173931,2.252550919
mp-1175291,1.773840069
mp-1175359,2.190854242
mp-1177246,2.652174969
mp-1177475,2.794807203
mp-1178251,1.965881844
mp-1180967,2.719369858
mp-1181437,2.869120736
mp-1181887,1.822077147
mp-1193461,2.668854092
mp-1202688,2.1903327
mp-1217842,1.731777844
mp-1218793,2.899548564
mp-1226366,1.999377156
mp-1226868,2.277438215
mp-1228935,1.923963006
mp-1246563,1.827073861
mp-1304239,1.879978439
mp-1304290,2.445934147
mp-15571,2.987471253
mp-15776,2.283848814
mp-1649552,1.792313694
