Material ID,Composition,Energy Above Hull,Band Gap,Adjusted Band Gap,CBM,VBM
mp-680722,"['As', 'Pb', 'Cl', 'O']",0.0,1.9689,2.8189,-0.1689283783783786,-2.987828378378379
mp-31107,"['As', 'Pb', 'O']",0.0,2.0589999999999997,2.909,-0.10115217391304299,-3.0101521739130432
mp-1095378,"['As', 'Au', 'O']",0.0,1.8671,2.7171,-0.06144999999999978,-2.77855
mp-23569,"['As', 'Se', 'I', 'F']",0.0,1.577,2.427,-0.14221428571428607,-2.5692142857142857
mp-30003,"['Au', 'S', 'O']",0.0,1.65,2.5,-0.1033333333333335,-2.6033333333333335
mp-1190864,"['Ba', 'Au', 'S', 'O']",0.0,1.7852999999999999,2.6353,-0.08104565217391269,-2.716345652173913
mp-23084,"['Bi', 'Pb', 'Cl', 'O']",0.0,2.0736999999999997,2.9236999999999997,-0.1601499999999998,-3.08385
mp-15511,"['Ca', 'Te', 'O']",0.0,2.0176,2.8676,-0.16453333333333298,-3.0321333333333333
mp-7128,"['Cd', 'As', 'O']",0.0,1.9348999999999998,2.7849,-0.1419944444444443,-2.9268944444444447
mp-28855,"['Cd', 'O', 'F']",0.0,1.8997,2.7497,-0.026968181818181947,-2.7766681818181818
mp-561561,"['Cs', 'K', 'Rh', 'F']",0.0,2.1012999999999997,2.9513,-0.16835000000000022,-3.11965
mp-1079364,"['Cs', 'Tc', 'F']",0.0,1.8113,2.6612999999999998,-0.12935000000000052,-2.79065
mp-542115,"['Hg', 'Se', 'O']",0.0,1.8688999999999998,2.7188999999999997,-0.13742500000000035,-2.856325
mp-31232,"['In', 'P', 'O']",0.0,2.0733999999999995,2.9233999999999996,-0.1695500000000001,-3.09295
mp-755116,"['In', 'Pt', 'O']",0.0,2.049200000000001,2.899200000000001,-0.12312727272727297,-3.0223272727272734
mp-1091363,"['K', 'Tc', 'F']",0.0,1.7181,2.5681,-0.16928333333333345,-2.7373833333333337
mp-558910,"['Li', 'U', 'P', 'O']",0.0,2.1386000000000003,2.9886000000000004,-0.1208724137931032,-3.109472413793104
mp-14037,"['Na', 'Tl', 'Rh', 'F']",0.0,1.7848000000000002,2.6348000000000003,-0.1495999999999995,-2.7844
mp-29698,"['Nb', 'Cl', 'O']",0.0,2.0193,2.8693,-0.1526227272727274,-3.0219227272727274
mp-1095283,"['P', 'Au', 'O']",0.0,1.706,2.556,-0.14033333333333253,-2.696333333333333
mp-20805,"['Pd', 'Pb', 'F']",0.0,1.0993999999999997,1.9493999999999998,-0.11696666666666644,-2.0663666666666667
mp-1113861,"['Rb', 'Tl', 'Rh', 'F']",0.0,1.9393000000000002,2.7893000000000003,-0.16335000000000033,-2.95265
mp-16834,"['Zn', 'As', 'O']",0.0,2.1475,2.9975,-0.16817307692307715,-3.1656730769230768
mp-778924,"['Zn', 'Se', 'O']",0.0,2.0896,2.9396,-0.0368666666666666,-2.976466666666666
mp-556120,"['Rb', 'Tl', 'S', 'O']",0.0,1.989,2.839,-0.15383333333333393,-2.9928333333333335
mp-20727,"['Sb', 'Pb', 'O']",0.0,1.9264999999999999,2.7765,-0.10397222222222258,-2.880472222222222
mp-14368,"['Sb', 'As', 'O']",0.0,1.7582000000000002,2.6082,-0.13447142857142858,-2.7426714285714286
mp-1819,"['Sb', 'O']",0.0,2.0287999999999995,2.8787999999999996,-0.08393333333333342,-2.9627333333333334
mp-22467,"['Sn', 'Pb', 'O']",0.0,2.0548,2.9048000000000003,-0.13617142857142817,-3.040971428571429
mp-753747,"['Ta', 'O', 'F']",0.0,1.9542,2.8042,-0.13790000000000013,-2.9421000000000004
mp-15750,"['Ta', 'Ag', 'P', 'O']",0.0,2.0967000000000002,2.9467000000000003,-0.03138684210526321,-2.978086842105263
mp-554435,"['Tc', 'Bi', 'O']",0.0,1.9795000000000003,2.8295000000000003,-0.12858333333333327,-2.958083333333333
mp-1105700,"['Te', 'Pb', 'O']",0.0,2.0195999999999996,2.8695999999999997,-0.07019999999999982,-2.9398
mp-1217378,"['Te', 'Pb', 'Cl', 'O']",0.0,2.0877000000000003,2.9377000000000004,-0.11414999999999953,-3.05185
mp-680219,"['U', 'Pb', 'Se', 'O']",0.0,2.0090000000000003,2.8590000000000004,-0.04300000000000015,-2.902
mp-17637,"['U', 'S', 'O']",0.0,1.9501000000000002,2.8001,-0.024949999999999584,-2.82505
mp-759342,"['Nb', 'As', 'O']",0.0,2.1016,2.9516,-0.09334285714285784,-3.0449428571428574
mp-23446,"['Ge', 'Bi', 'O']",0.0,2.0537999999999994,2.9037999999999995,-0.1418499999999998,-3.0456499999999997
mp-779156,"['Cd', 'Se', 'O']",0.0,1.94,2.79,-0.10500000000000043,-2.895
mp-17677,"['Nb', 'P', 'O']",0.0,2.1092,2.9592,-0.08925714285714292,-3.048457142857143
mp-685353,"['Bi', 'P', 'O']",0.0,2.092199999999999,2.9421999999999993,-0.13890000000000047,-3.0810999999999993
mp-230,"['Sb', 'O']",0.0,1.8897000000000004,2.7397000000000005,-0.15348333333333297,-2.893183333333334
mp-31069,"['P', 'Pb', 'O']",0.0,2.0642,2.9142,-0.09768260869565282,-3.0118826086956525
mp-1111368,"['K', 'Tl', 'Rh', 'F']",0.0,1.9609,2.8109,-0.15254999999999974,-2.9634500000000004
mp-759307,"['Ti', 'Nb', 'O']",0.0,2.0475,2.8975,-0.1692499999999999,-3.0667500000000003
mp-624234,"['Te', 'Pb', 'O']",0.0,2.0297,2.8797,-0.06515000000000004,-2.9448499999999997
mp-10798,"['Hg', 'Se', 'O']",0.0,1.9987000000000001,2.8487,-0.10164999999999935,-2.95035
mp-760188,"['Nb', 'O', 'F']",0.0,2.0227999999999997,2.8728,-0.0763272727272728,-2.9491272727272726
mp-7094,"['Re', 'Ag', 'O']",0.0,2.0984999999999996,2.9484999999999997,-0.09408333333333374,-3.042583333333333
