Table 1
qmof_id,solvent_stability,,Stable
qmof-71d974d,1.00,,qmof-71d974d
qmof-28acf7f,0.97,,qmof-28acf7f
qmof-21a886a,0.96,,qmof-21a886a
qmof-2875770,0.95,,qmof-2875770
qmof-2bf3de2,0.95,,qmof-2bf3de2
qmof-0f515e2,0.95,,qmof-0f515e2
qmof-08021a9,0.95,,qmof-08021a9
qmof-68e1336,0.95,,qmof-68e1336
qmof-f598a6c,0.94,,qmof-f598a6c
qmof-0f178f1,0.94,,qmof-0f178f1
qmof-b5f87de,0.93,,qmof-b5f87de
qmof-b1e5ed5,0.93,,qmof-b1e5ed5
qmof-e2d2c46,0.93,,qmof-e2d2c46
qmof-dbdc93d,0.92,,qmof-dbdc93d
qmof-1cc623d,0.92,,qmof-1cc623d
qmof-2c7948e,0.92,,qmof-2c7948e
qmof-9e9c33f,0.92,,qmof-9e9c33f
qmof-5f9a1bc,0.92,,qmof-5f9a1bc
qmof-aa12b02,0.92,,qmof-aa12b02
qmof-7f7afd2,0.91,,qmof-7f7afd2
qmof-e62d92a,0.91,,qmof-e62d92a
qmof-1f7477f,0.91,,qmof-1f7477f
qmof-f124941,0.91,,qmof-f124941
qmof-f203c62,0.91,,qmof-f203c62
qmof-2f6a6a9,0.91,,qmof-2f6a6a9
qmof-c1553ca,0.91,,qmof-c1553ca
qmof-e3d0456,0.91,,qmof-e3d0456
qmof-5382407,0.91,,qmof-5382407
qmof-b7e8393,0.91,,qmof-b7e8393
qmof-e6adc28,0.91,,qmof-e6adc28
qmof-961be1d,0.91,,qmof-961be1d
qmof-95ce74c,0.90,,qmof-95ce74c
qmof-2095c92,0.90,,qmof-2095c92
qmof-ef79893,0.90,,qmof-ef79893
qmof-de2474e,0.90,,qmof-de2474e
qmof-5c354ae,0.90,,qmof-5c354ae
qmof-e647ae3,0.90,,qmof-e647ae3
qmof-e2af422,0.90,,qmof-e2af422
qmof-d77d3f0,0.90,,qmof-d77d3f0
qmof-97f5f79,0.90,,qmof-97f5f79
qmof-f5056a0,0.89,,qmof-f5056a0
qmof-e381eec,0.89,,qmof-e381eec
qmof-b66eff0,0.89,,qmof-b66eff0
qmof-8f5113c,0.89,,qmof-8f5113c
qmof-25dcace,0.88,,qmof-25dcace
qmof-2297abb,0.88,,qmof-2297abb
qmof-0a980e2,0.88,,qmof-0a980e2
qmof-8aafb2a,0.88,,qmof-8aafb2a
qmof-b7fb8de,0.88,,qmof-b7fb8de
qmof-f0e967a,0.88,,qmof-f0e967a
qmof-97fb071,0.88,,qmof-97fb071
qmof-7e5b02e,0.88,,qmof-7e5b02e
qmof-7c0089b,0.88,,qmof-7c0089b
qmof-3eec122,0.88,,qmof-3eec122
qmof-b6953dc,0.87,,qmof-b6953dc
qmof-5b20bb3,0.87,,qmof-5b20bb3
qmof-9314947,0.87,,qmof-9314947
qmof-537f47f,0.87,,qmof-537f47f
qmof-ed987cc,0.87,,qmof-ed987cc
qmof-b80a30e,0.87,,qmof-b80a30e
qmof-bf9ccaf,0.87,,qmof-bf9ccaf
qmof-dd825f1,0.87,,qmof-dd825f1
qmof-d159ad9,0.86,,qmof-d159ad9
qmof-a77a87b,0.86,,qmof-a77a87b
